bandwidth_mhz,identical_pct_mean,identical_pct_ci95,same_ue_set_pct_mean,same_ue_set_pct_ci95,divergence_norm_mean,divergence_norm_ci95,ues_target_positive_mean,ues_target_positive_ci95,ues_applied_positive_mean,ues_applied_positive_ci95,jain_target_mean,jain_target_ci95,jain_applied_mean,jain_applied_ci95,seeds,decisions_mean_per_seed,n_rntis_in_decision_mean,n_need_service_mean,slot_collision_count_total
10,0.0,0.0,0.0,0.0,0.19617788264919367,0.010411465968199531,9.0,0.0,7.299710347097598,0.0902294448211163,0.9630482276558687,0.0005910992506146372,0.7984917140191524,0.009649400382350567,100,44786.99,9.0,9.0,0
15,100.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.9769450594942846,0.0002363735551367688,0.9769450594942846,0.0002363735551367688,100,42191.95,9.0,9.0,0
20,100.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.9819596077348685,0.0006348019538098703,0.9819596077348685,0.0006348019538098703,100,41561.44,9.0,9.0,0
25,100.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.9930964952905065,0.0003471919350275358,0.9930964952905065,0.0003471919350275358,100,42275.76,9.0,9.0,0
30,100.0,0.0,100.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.9929382932652654,0.00014142868045968735,0.9929382932652654,0.00014142868045968735,100,42648.08,9.0,9.0,0
40,98.54147196027571,0.21627333248534958,100.0,0.0,0.0009495476030530066,0.0001952154638510552,9.0,0.0,9.0,0.0,0.9946267297837125,0.00027400961191153606,0.9942995030548041,0.0003123485891253779,100,41935.92,9.0,9.0,0
50,98.74369180223914,0.27583932643698217,100.0,0.0,0.0019518212289698909,0.00047446606400880265,8.976547845501333,0.006618287018763158,8.976547845501333,0.006618287018763158,0.9946074693129272,0.0002926617572678823,0.9930278576935772,0.0005133486853332013,100,31491.22,8.976547845501333,8.976547845501333,0
60,99.29260474428247,0.2385369202567948,100.0,0.0,0.001195198976941279,0.0004275640884046974,8.980714406811064,0.006492497308211727,8.980714406811064,0.006492497308211727,0.9951154175906712,0.00021485543148453472,0.9940994120141602,0.0004511833424648503,100,26652.12,8.980714406811064,8.980714406811064,0
70,99.54156780736868,0.1825169882364744,100.0,0.0,0.0006983668932066165,0.0003417714229910619,8.982442548327283,0.00781261730398633,8.982442548327283,0.00781261730398633,0.9938347255028368,0.00017464888937303514,0.99328533565331,0.00034690481163826873,100,21572.26,8.982442548327283,8.982442548327283,0
80,99.41119788524429,0.1578024502191156,100.0,0.0,0.0010244035611849825,0.0003087350323341606,8.980580434080744,0.007949773358107294,8.980580434080744,0.007949773358107294,0.9945843130410342,0.00018204267717116944,0.9936393361413417,0.00034994084036811914,100,21023.77,8.980580434080744,8.980580434080744,0
90,99.46695668372884,0.1836139018781658,100.0,0.0,0.000765364657004094,0.0002482630125163056,8.9784574675164,0.008749099503986554,8.9784574675164,0.008749099503986554,0.9939540310091107,0.00022569250669616522,0.9933534509194802,0.00028392883060950774,100,17512.03,8.9784574675164,8.9784574675164,0
100,99.3567749161412,0.35760839551937024,100.0,0.0,0.00103263226028038,0.0004969106390625245,8.972570409799966,0.01578981674999646,8.972570409799966,0.01578981674999646,0.9941225276342823,0.0002268514310269508,0.9932063539319723,0.0004867238695025482,100,17066.81,8.972570409799966,8.972570409799966,0
