mode,time_bin_s,served_ues,served_ues_smooth
IA-FMR,0.45,9.0,9.0
IA-FMR,0.55,9.0,9.0
IA-FMR,0.65,9.0,9.0
IA-FMR,0.75,9.0,9.0
IA-FMR,0.8500000000000001,9.0,9.0
IA-FMR,0.9500000000000001,9.0,9.0
IA-FMR,1.05,9.0,9.0
IA-FMR,1.1500000000000001,9.0,9.0
IA-FMR,1.25,9.0,9.0
IA-FMR,1.35,9.0,9.0
IA-FMR,1.4500000000000002,9.0,9.0
IA-FMR,1.55,9.0,9.0
IA-FMR,1.6500000000000001,9.0,9.0
IA-FMR,1.75,9.0,9.0
IA-FMR,1.85,9.0,9.0
IA-FMR,1.9500000000000002,9.0,9.0
IA-FMR,2.0500000000000003,9.0,9.0
IA-FMR,2.15,9.0,9.0
IA-FMR,2.25,9.0,9.0
IA-FMR,2.35,9.0,9.0
IA-FMR,2.45,9.0,9.0
IA-FMR,2.5500000000000003,9.0,9.0
IA-FMR,2.6500000000000004,9.0,9.0
IA-FMR,2.75,9.0,9.0
IA-FMR,2.85,9.0,9.0
IA-FMR,2.95,9.0,9.0
IA-FMR,3.0500000000000003,9.0,9.0
IA-FMR,3.1500000000000004,9.0,9.0
IA-FMR,3.25,9.0,9.0
IA-FMR,3.35,9.0,9.0
IA-FMR,3.45,9.0,9.0
IA-FMR,3.5500000000000003,9.0,9.0
IA-FMR,3.6500000000000004,9.0,9.0
IA-FMR,3.75,9.0,9.0
IA-FMR,3.85,9.0,9.0
IA-FMR,3.95,9.0,9.0
IA-FMR,4.05,9.0,9.0
IA-FMR,4.15,9.0,9.0
IA-FMR,4.25,9.0,9.0
IA-FMR,4.3500000000000005,9.0,9.0
IA-FMR,4.45,9.0,9.0
IA-FMR,4.55,9.0,9.0
IA-FMR,4.65,9.0,9.0
IA-FMR,4.75,9.0,9.0
IA-FMR,4.8500000000000005,9.0,9.0
IA-FMR,4.95,9.0,9.0
IA-FMR,5.050000000000001,9.0,9.0
IA-FMR,5.15,9.0,9.0
IA-FMR,5.25,9.0,9.0
IA-FMR,5.3500000000000005,9.0,9.0
IA-FMR,5.45,9.0,9.0
IA-FMR,5.550000000000001,9.0,9.0
IA-FMR,5.65,9.0,9.0
IA-FMR,5.75,9.0,9.0
IA-FMR,5.8500000000000005,9.0,9.0
IA-FMR,5.95,9.0,9.0
IA-FMR,6.050000000000001,9.0,9.0
IA-FMR,6.15,9.0,9.0
IA-FMR,6.25,9.0,9.0
IA-FMR,6.3500000000000005,9.0,9.0
IA-FMR,6.45,9.0,9.0
IA-FMR,6.550000000000001,9.0,9.0
IA-FMR,6.65,9.0,9.0
IA-FMR,6.75,9.0,9.0
IA-FMR,6.8500000000000005,9.0,9.0
IA-FMR,6.95,9.0,9.0
IA-FMR,7.050000000000001,9.0,9.0
IA-FMR,7.15,9.0,9.0
IA-FMR,7.25,9.0,9.0
IA-FMR,7.3500000000000005,9.0,9.0
IA-FMR,7.45,9.0,9.0
IA-FMR,7.550000000000001,9.0,9.0
IA-FMR,7.65,9.0,9.0
IA-FMR,7.75,9.0,9.0
IA-FMR,7.8500000000000005,9.0,9.0
IA-FMR,7.95,9.0,9.0
IA-FMR,8.05,9.0,9.0
IA-FMR,8.15,9.0,9.0
IA-FMR,8.25,9.0,9.0
IA-FMR,8.35,9.0,9.0
IA-FMR,8.450000000000001,9.0,9.0
IA-FMR,8.55,9.0,9.0
IA-FMR,8.65,9.0,9.0
IA-FMR,8.75,9.0,9.0
IA-FMR,8.85,9.0,9.0
IA-FMR,8.950000000000001,9.0,9.0
IA-FMR,9.05,9.0,9.0
IA-FMR,9.15,9.0,9.0
IA-FMR,9.25,9.0,9.0
IA-FMR,9.35,9.0,9.0
IA-FMR,9.450000000000001,9.0,9.0
IA-FMR,9.55,9.0,9.0
IA-FMR,9.65,9.0,9.0
IA-FMR,9.75,9.0,9.0
IA-FMR,9.850000000000001,9.0,9.0
IA-FMR,9.950000000000001,9.0,9.0
IA-FMR,10.05,9.0,9.0
IA-FMR,10.15,9.0,9.0
IA-FMR,10.25,9.0,9.0
IA-FMR,10.350000000000001,9.0,9.0
IA-FMR,10.450000000000001,9.0,9.0
IA-FMR,10.55,9.0,9.0
IA-FMR,10.65,9.0,9.0
IA-FMR,10.75,9.0,9.0
IA-FMR,10.850000000000001,9.0,9.0
IA-FMR,10.950000000000001,9.0,9.0
IA-FMR,11.05,9.0,9.0
IA-FMR,11.15,9.0,9.0
IA-FMR,11.25,9.0,9.0
IA-FMR,11.350000000000001,9.0,9.0
IA-FMR,11.450000000000001,9.0,9.0
IA-FMR,11.55,9.0,9.0
IA-FMR,11.65,9.0,9.0
IA-FMR,11.75,9.0,9.0
IA-FMR,11.850000000000001,9.0,9.0
IA-FMR,11.950000000000001,9.0,9.0
IA-FMR,12.05,9.0,9.0
IA-FMR,12.15,9.0,9.0
IA-FMR,12.25,9.0,9.0
IA-FMR,12.350000000000001,9.0,9.0
IA-FMR,12.450000000000001,9.0,9.0
IA-FMR,12.55,9.0,9.0
IA-FMR,12.65,9.0,9.0
IA-FMR,12.75,9.0,9.0
IA-FMR,12.850000000000001,9.0,9.0
IA-FMR,12.950000000000001,9.0,9.0
IA-FMR,13.05,9.0,9.0
IA-FMR,13.15,9.0,9.0
IA-FMR,13.25,9.0,9.0
IA-FMR,13.350000000000001,9.0,9.0
IA-FMR,13.450000000000001,9.0,9.0
IA-FMR,13.55,9.0,9.0
IA-FMR,13.65,9.0,9.0
IA-FMR,13.75,9.0,9.0
IA-FMR,13.850000000000001,9.0,9.0
IA-FMR,13.950000000000001,9.0,9.0
IA-FMR,14.05,9.0,9.0
IA-FMR,14.15,9.0,9.0
IA-FMR,14.25,9.0,9.0
IA-FMR,14.350000000000001,9.0,9.0
IA-FMR,14.450000000000001,9.0,9.0
IA-FMR,14.55,9.0,9.0
IA-FMR,14.65,9.0,9.0
IA-FMR,14.75,9.0,9.0
IA-FMR,14.850000000000001,9.0,9.0
IA-FMR,14.950000000000001,9.0,9.0
IA-FMR,15.05,9.0,9.0
IA-FMR,15.15,9.0,9.0
IA-FMR,15.25,9.0,9.0
IA-FMR,15.350000000000001,9.0,9.0
IA-FMR,15.450000000000001,9.0,9.0
IA-FMR,15.55,9.0,9.0
IA-FMR,15.65,9.0,9.0
IA-FMR,15.75,9.0,9.0
IA-FMR,15.850000000000001,9.0,9.0
IA-FMR,15.950000000000001,9.0,9.0
IA-FMR,16.05,9.0,9.0
IA-FMR,16.150000000000002,9.0,9.0
IA-FMR,16.25,9.0,9.0
IA-FMR,16.35,9.0,9.0
IA-FMR,16.45,9.0,9.0
IA-FMR,16.55,9.0,9.0
IA-FMR,16.650000000000002,9.0,9.0
IA-FMR,16.75,9.0,9.0
IA-FMR,16.85,9.0,9.0
IA-FMR,16.95,9.0,9.0
IA-FMR,17.05,9.0,9.0
IA-FMR,17.150000000000002,9.0,9.0
IA-FMR,17.25,9.0,9.0
IA-FMR,17.35,9.0,9.0
IA-FMR,17.45,9.0,9.0
IA-FMR,17.55,9.0,9.0
IA-FMR,17.650000000000002,9.0,9.0
IA-FMR,17.75,9.0,9.0
IA-FMR,17.85,9.0,9.0
IA-FMR,17.95,9.0,9.0
IA-FMR,18.05,9.0,9.0
IA-FMR,18.150000000000002,9.0,9.0
IA-FMR,18.25,9.0,9.0
IA-FMR,18.35,9.0,9.0
IA-FMR,18.45,9.0,9.0
IA-FMR,18.55,9.0,9.0
IA-FMR,18.650000000000002,9.0,9.0
IA-FMR,18.75,9.0,9.0
IA-FMR,18.85,9.0,9.0
IA-FMR,18.95,9.0,9.0
IA-FMR,19.05,9.0,9.0
IA-FMR,19.150000000000002,9.0,9.0
IA-FMR,19.25,9.0,9.0
IA-FMR,19.35,9.0,9.0
IA-FMR,19.450000000000003,9.0,9.0
IA-FMR,19.55,9.0,9.0
IA-FMR,19.650000000000002,9.0,9.0
IA-FMR,19.75,9.0,9.0
IA-FMR,19.85,9.0,9.0
IA-FMR,19.950000000000003,9.0,9.0
IA-FMR,20.05,9.0,9.0
IA-FMR,20.150000000000002,9.0,9.0
IA-FMR,20.25,9.0,9.0
IA-FMR,20.35,9.0,9.0
IA-FMR,20.450000000000003,9.0,9.0
IA-FMR,20.55,9.0,9.0
IA-FMR,20.650000000000002,9.0,9.0
IA-FMR,20.75,9.0,9.0
IA-FMR,20.85,9.0,9.0
IA-FMR,20.950000000000003,9.0,9.0
IA-FMR,21.05,9.0,9.0
IA-FMR,21.150000000000002,9.0,9.0
IA-FMR,21.25,9.0,9.0
IA-FMR,21.35,9.0,9.0
IA-FMR,21.450000000000003,9.0,9.0
IA-FMR,21.55,9.0,9.0
IA-FMR,21.650000000000002,9.0,9.0
IA-FMR,21.75,9.0,9.0
IA-FMR,21.85,9.0,9.0
IA-FMR,21.950000000000003,9.0,9.0
IA-FMR,22.05,9.0,9.0
IA-FMR,22.150000000000002,9.0,9.0
IA-FMR,22.25,9.0,9.0
IA-FMR,22.35,9.0,9.0
IA-FMR,22.450000000000003,9.0,9.0
IA-FMR,22.55,9.0,9.0
IA-FMR,22.650000000000002,9.0,9.0
IA-FMR,22.75,9.0,9.0
IA-FMR,22.85,9.0,9.0
IA-FMR,22.950000000000003,9.0,9.0
IA-FMR,23.05,9.0,9.0
IA-FMR,23.150000000000002,9.0,9.0
IA-FMR,23.25,9.0,9.0
IA-FMR,23.35,9.0,9.0
IA-FMR,23.450000000000003,9.0,9.0
IA-FMR,23.55,9.0,9.0
IA-FMR,23.650000000000002,9.0,9.0
IA-FMR,23.75,9.0,9.0
IA-FMR,23.85,9.0,9.0
IA-FMR,23.950000000000003,9.0,9.0
IA-FMR,24.05,9.0,9.0
IA-FMR,24.150000000000002,9.0,9.0
IA-FMR,24.25,9.0,9.0
IA-FMR,24.35,9.0,9.0
IA-FMR,24.450000000000003,9.0,9.0
IA-FMR,24.55,9.0,9.0
IA-FMR,24.650000000000002,9.0,9.0
IA-FMR,24.75,9.0,9.0
IA-FMR,24.85,9.0,9.0
IA-FMR,24.950000000000003,9.0,9.0
IA-FMR,25.05,9.0,9.0
IA-FMR,25.150000000000002,9.0,9.0
IA-FMR,25.25,9.0,9.0
IA-FMR,25.35,9.0,9.0
IA-FMR,25.450000000000003,9.0,9.0
IA-FMR,25.55,9.0,9.0
IA-FMR,25.650000000000002,9.0,9.0
IA-FMR,25.75,9.0,9.0
IA-FMR,25.85,9.0,9.0
IA-FMR,25.950000000000003,9.0,9.0
IA-FMR,26.05,9.0,9.0
IA-FMR,26.150000000000002,9.0,9.0
IA-FMR,26.25,9.0,9.0
IA-FMR,26.35,9.0,9.0
IA-FMR,26.450000000000003,9.0,9.0
IA-FMR,26.55,9.0,9.0
