mode,time_bin_s,ue,alloc_rbg,total_alloc_rbg,share_pct,share_pct_smooth
IA-FMR,0.45,1,1830,16112,11.357994041708043,11.339374379344587
IA-FMR,0.45,2,1668,16112,10.35253227408143,10.364945382323734
IA-FMR,0.45,3,1672,16112,10.377358490566039,10.377358490566039
IA-FMR,0.45,4,1817,16112,11.277308838133068,11.2990317775571
IA-FMR,0.45,5,1829,16112,11.351787487586892,11.336271102284012
IA-FMR,0.45,6,1685,16112,10.458043694141013,10.417701092353525
IA-FMR,0.45,7,1963,16112,12.183465739821251,12.223808341608738
IA-FMR,0.45,8,1969,16112,12.220705064548163,12.242428003972194
IA-FMR,0.45,9,1679,16112,10.420804369414101,10.39908142999007
IA-FMR,0.55,1,1932,17066,11.320754716981131,11.28938150247843
IA-FMR,0.55,2,1771,17066,10.377358490566039,10.396947108636171
IA-FMR,0.55,3,1771,17066,10.377358490566039,10.403232226733541
IA-FMR,0.55,4,1932,17066,11.320754716981131,11.264476722017605
IA-FMR,0.55,5,1932,17066,11.320754716981131,11.331098973849718
IA-FMR,0.55,6,1771,17066,10.377358490566039,10.420175857604365
IA-FMR,0.55,7,2093,17066,12.264150943396226,12.237255875537903
IA-FMR,0.55,8,2093,17066,12.264150943396226,12.249668983780206
IA-FMR,0.55,9,1771,17066,10.377358490566039,10.407762749362062
IA-FMR,0.65,1,1874,16748,11.189395748746119,11.234363403365768
IA-FMR,0.65,2,1752,16748,10.460950561261047,10.431597032288883
IA-FMR,0.65,3,1751,16748,10.454979699068545,10.429606744891382
IA-FMR,0.65,4,1875,16748,11.195366610938619,11.236353690763268
IA-FMR,0.65,5,1896,16748,11.320754716981131,11.320754716981131
IA-FMR,0.65,6,1746,16748,10.425125388106043,10.409511262458558
IA-FMR,0.65,7,2054,16748,12.264150943396226,12.264150943396226
IA-FMR,0.65,8,2054,16748,12.264150943396226,12.264150943396226
IA-FMR,0.65,9,1746,16748,10.425125388106043,10.409511262458558
IA-FMR,0.75,1,1839,16430,11.192939744370054,11.174274471746974
IA-FMR,0.75,2,1718,16430,10.456482045039563,10.469653355647454
IA-FMR,0.75,3,1718,16430,10.456482045039563,10.467663068249953
IA-FMR,0.75,4,1839,16430,11.192939744370054,11.176264759144473
IA-FMR,0.75,5,1860,16430,11.320754716981131,11.320754716981131
IA-FMR,0.75,6,1713,16430,10.426049908703591,10.431543870718784
IA-FMR,0.75,7,2015,16430,12.264150943396226,12.264150943396226
IA-FMR,0.75,8,2015,16430,12.264150943396226,12.264150943396226
IA-FMR,0.75,9,1713,16430,10.426049908703591,10.431543870718784
IA-FMR,0.8500000000000001,1,1854,16642,11.140487922124745,11.157971862873183
IA-FMR,0.8500000000000001,2,1746,16642,10.49152746064175,10.47984565544102
IA-FMR,0.8500000000000001,3,1746,16642,10.49152746064175,10.47984565544102
IA-FMR,0.8500000000000001,4,1854,16642,11.140487922124745,11.157971862873183
IA-FMR,0.8500000000000001,5,1884,16642,11.320754716981131,11.320754716981131
IA-FMR,0.8500000000000001,6,1738,16642,10.443456315346713,10.437654179799006
IA-FMR,0.8500000000000001,7,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,0.8500000000000001,8,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,0.8500000000000001,9,1738,16642,10.443456315346713,10.437654179799006
IA-FMR,0.9500000000000001,1,1854,16642,11.140487922124745,11.146496815286625
IA-FMR,0.9500000000000001,2,1746,16642,10.49152746064175,10.487521531867163
IA-FMR,0.9500000000000001,3,1746,16642,10.49152746064175,10.487521531867163
IA-FMR,0.9500000000000001,4,1854,16642,11.140487922124745,11.146496815286625
IA-FMR,0.9500000000000001,5,1884,16642,11.320754716981131,11.320754716981131
IA-FMR,0.9500000000000001,6,1738,16642,10.443456315346713,10.44145335095942
IA-FMR,0.9500000000000001,7,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,0.9500000000000001,8,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,0.9500000000000001,9,1738,16642,10.443456315346713,10.44145335095942
IA-FMR,1.05,1,1857,16642,11.158514601610383,11.162520530384969
IA-FMR,1.05,2,1744,16642,10.47950967431799,10.475503745543405
IA-FMR,1.05,3,1744,16642,10.47950967431799,10.475503745543405
IA-FMR,1.05,4,1857,16642,11.158514601610383,11.162520530384969
IA-FMR,1.05,5,1884,16642,11.320754716981131,11.320754716981131
IA-FMR,1.05,6,1737,16642,10.437447422184833,10.437447422184833
IA-FMR,1.05,7,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,1.05,8,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,1.05,9,1737,16642,10.437447422184833,10.437447422184833
IA-FMR,1.1500000000000001,1,1862,16642,11.188559067419781,11.173918043866214
IA-FMR,1.1500000000000001,2,1740,16642,10.455474101670472,10.467879558520805
IA-FMR,1.1500000000000001,3,1740,16642,10.455474101670472,10.467879558520805
IA-FMR,1.1500000000000001,4,1862,16642,11.188559067419781,11.173918043866214
IA-FMR,1.1500000000000001,5,1884,16642,11.320754716981131,11.320754716981131
IA-FMR,1.1500000000000001,6,1736,16642,10.431438529022953,10.433674095726191
IA-FMR,1.1500000000000001,7,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,1.1500000000000001,8,2041,16642,12.264150943396226,12.264150943396226
IA-FMR,1.1500000000000001,9,1736,16642,10.431438529022953,10.433674095726191
IA-FMR,1.25,1,1836,16430,11.174680462568473,11.176250609988124
IA-FMR,1.25,2,1720,16430,10.46865489957395,10.465673762296824
IA-FMR,1.25,3,1720,16430,10.46865489957395,10.465673762296824
IA-FMR,1.25,4,1836,16430,11.174680462568473,11.176250609988124
IA-FMR,1.25,5,1860,16430,11.320754716981131,11.320754716981131
IA-FMR,1.25,6,1714,16430,10.432136335970785,10.43354732582826
IA-FMR,1.25,7,2015,16430,12.264150943396226,12.264150943396226
IA-FMR,1.25,8,2015,16430,12.264150943396226,12.264150943396226
IA-FMR,1.25,9,1714,16430,10.432136335970785,10.43354732582826
IA-FMR,1.35,1,1870,16748,11.165512299976116,11.151778493820297
IA-FMR,1.35,2,1754,16748,10.472892285646047,10.483982911119131
IA-FMR,1.35,3,1754,16748,10.472892285646047,10.483982911119131
IA-FMR,1.35,4,1870,16748,11.165512299976116,11.151778493820297
IA-FMR,1.35,5,1896,16748,11.320754716981131,11.320754716981131
IA-FMR,1.35,6,1748,16748,10.437067112491043,10.439710293173778
IA-FMR,1.35,7,2054,16748,12.264150943396226,12.264150943396226
IA-FMR,1.35,8,2054,16748,12.264150943396226,12.264150943396226
