bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,8.860218847,8.364278734812375,9.356158959187626,0.4959401121876248,100
15,RR,16.324707237,15.34330943676558,17.306105037234417,0.9813978002344192,100
20,RR,19.179409627,17.85953407366182,20.499285180338177,1.3198755533381796,100
25,RR,31.30338478,28.564497359086637,34.04227220091336,2.7388874209133616,100
30,RR,35.79570176,33.46643691130591,38.12496660869409,2.329264848694087,100
40,RR,50.93086767,46.04294120900924,55.81879413099075,4.887926460990756,100
50,RR,62.23500147,55.20033829996651,69.26966464003348,7.034663170033487,100
60,RR,51.85843955,45.10026542122806,58.61661367877194,6.758174128771941,100
70,RR,58.34812793,49.4939161490135,67.2023397109865,8.854211780986494,100
80,RR,81.41919409,68.84219518871804,93.99619299128197,12.576998901281971,100
90,RR,73.15684368000001,60.06136644715296,86.25232091284705,13.095477232847047,100
100,RR,50.91629991,42.30714001697597,59.52545980302403,8.609159893024028,100
10,PF,10.727558032,10.36038923205706,11.094726831942939,0.3671687999429393,100
15,PF,17.225097291,16.464940284609796,17.985254297390206,0.7601570063902052,100
20,PF,21.09683387,20.070087329779792,22.12358041022021,1.0267465402202078,100
25,PF,26.10732325,24.775863692608105,27.438782807391895,1.331459557391895,100
30,PF,30.61255071,29.02304989623029,32.20205152376971,1.5895008137697095,100
40,PF,34.35815026,32.56237985149713,36.15392066850288,1.7957704085028725,100
50,PF,39.718443762,37.293203654367495,42.143683869632504,2.425240107632505,100
60,PF,43.98102135999999,41.197918124878605,46.76412459512138,2.783103235121388,100
70,PF,45.54943274,42.844928916779686,48.253936563220314,2.704503823220316,100
80,PF,43.81991766,41.231417174603635,46.40841814539637,2.588500485396364,100
90,PF,42.09111342999999,39.68355169200495,44.49867516799504,2.407561737995046,100
100,PF,41.31773716,38.66137987811146,43.97409444188854,2.656357281888542,100
10,MR,28.570236524050003,27.889266614821928,29.251206433278078,0.6809699092280748,100
15,MR,51.04668704693,50.0375057430932,52.05586835076681,1.0091813038368052,100
20,MR,79.00997985192,77.84464522961255,80.17531447422743,1.1653346223074463,100
25,MR,101.76692015114,99.64137885950153,103.89246144277847,2.125541291638476,100
30,MR,116.35542694141,112.88586925401302,119.82498462880699,3.4695576873969856,100
40,MR,120.40204485527,115.22256364139409,125.58152606914592,5.179481213875922,100
50,MR,115.60467840108998,110.25935177596155,120.95000502621842,5.34532662512843,100
60,MR,114.98745450674,110.23751009221729,119.7373989212627,4.749944414522703,100
70,MR,112.82303366414,107.58085984752373,118.06520748075627,5.242173816616267,100
80,MR,109.58281578113,102.76486019735428,116.40077136490571,6.817955583775711,100
90,MR,106.53881398045,99.81972132497543,113.25790663592457,6.719092655474566,100
100,MR,104.53244208094,97.49561766371222,111.56926649816778,7.036824417227772,100
10,IA-FMR,19.196274237,18.305848392476765,20.086700081523237,0.8904258445232367,100
15,IA-FMR,26.770470292,25.236736112690945,28.304204471309053,1.533734179309054,100
20,IA-FMR,37.79191972,35.3696494055937,40.21419003440631,2.422270314406304,100
25,IA-FMR,51.540358503,48.54145762783132,54.53925937816868,2.9989008751686828,100
30,IA-FMR,67.4278695,63.571189775988934,71.28454922401106,3.856679724011064,100
40,IA-FMR,97.53219851999998,91.57146397956346,103.4929330604365,5.960734540436514,100
50,IA-FMR,93.97519341,83.18793385372727,104.76245296627273,10.78725955627273,100
60,IA-FMR,92.0360389,80.55975208173498,103.512325718265,11.476286818265011,100
70,IA-FMR,82.95848727,72.07977026031516,93.83720427968485,10.878717009684852,100
80,IA-FMR,94.71543475,82.3932341873037,107.0376353126963,12.322200562696288,100
90,IA-FMR,82.88714519999999,70.16805130915192,95.60623909084806,12.719093890848068,100
100,IA-FMR,82.258406385,68.21941555994812,96.29739721005188,14.03899082505188,100
