bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,0.1813590439,0.1674312853203917,0.19528680247960828,0.0139277585796083,100
15,RR,0.28395370625,0.2615287981438468,0.3063786143561532,0.0224249081061532,100
20,RR,0.3293070615,0.3014802548815067,0.3571338681184933,0.0278268066184933,100
25,RR,0.4351014575,0.39921289010771693,0.4709900248922831,0.0358885673922831,100
30,RR,0.53554223,0.49884080998003644,0.5722436500199636,0.0367014200199636,100
40,RR,0.713814775,0.6519960881691143,0.7756334618308858,0.0618186868308858,100
50,RR,0.8408394674999999,0.7575929210361807,0.9240860139638192,0.0832465464638192,100
60,RR,0.7874052575,0.7014994882438038,0.8733110267561962,0.0859057692561962,100
70,RR,0.83405662,0.7241426177712126,0.9439706222287875,0.1099140022287874,100
80,RR,1.059153855,0.906278883861594,1.2120288261384058,0.1528749711384058,100
90,RR,1.1027754025,0.9247977286988643,1.2807530763011357,0.1779776738011357,100
100,RR,0.8625458975,0.7407015004314076,0.9843902945685924,0.1218443970685924,100
10,PF,0.22309899975,0.2096643571282852,0.2365336423717148,0.0134346426217148,100
15,PF,0.301421283,0.2802089185467452,0.3226336474532548,0.0212123644532548,100
20,PF,0.31493219,0.2923482232270299,0.3375161567729701,0.0225839667729701,100
25,PF,0.337307075,0.31854221219551954,0.3560719378044805,0.0187648628044805,100
30,PF,0.36140795,0.3405756390337385,0.38224026096626146,0.0208323109662615,100
40,PF,0.3366893775,0.3158297924512466,0.3575489625487534,0.0208595850487534,100
50,PF,0.3313459569999999,0.30980125578167134,0.3528906582183285,0.0215447012183286,100
60,PF,0.33350192,0.312346807042522,0.354657032957478,0.021155112957478,100
70,PF,0.339456995,0.3158370703799584,0.36307691962004157,0.0236199246200416,100
80,PF,0.34463281,0.3200575499316179,0.36920807006838213,0.0245752600683821,100
90,PF,0.358662575,0.33335234119753576,0.3839728088024642,0.0253102338024642,100
100,PF,0.3618964875,0.3350437143587199,0.38874926064128007,0.0268527731412801,100
10,MR,0.0,0.0,0.0,0.0,100
15,MR,0.0,0.0,0.0,0.0,100
20,MR,0.0,0.0,0.0,0.0,100
25,MR,0.0,0.0,0.0,0.0,100
30,MR,1.41306725e-05,-5.797180788217764e-06,3.4058525788217765e-05,1.9927853288217764e-05,100
40,MR,0.0,0.0,0.0,0.0,100
50,MR,6.661598e-05,-2.882747501727309e-06,0.0001361147075017273,6.949872750172731e-05,100
60,MR,2.22053125e-05,-9.943465191005965e-06,5.4354090191005965e-05,3.2148777691005965e-05,100
70,MR,7.267199e-05,2.320284380861824e-05,0.00012214113619138175,4.946914619138176e-05,100
80,MR,0.0002563706825,4.8937136292099984e-05,0.0004638042287079,0.0002074335462079,100
90,MR,0.0002846319575,0.00019142511637507657,0.00037783879862492343,9.320684112492342e-05,100
100,MR,0.00053292778,0.0004226165438146,0.0006432390161854,0.0001103112361854,100
10,IA-FMR,0.0,0.0,0.0,0.0,100
15,IA-FMR,0.418279787,0.3882448306165425,0.4483147433834575,0.0300349563834575,100
20,IA-FMR,0.5376436800000001,0.4892787632358235,0.5860085967641767,0.0483649167641766,100
25,IA-FMR,0.711396052,0.6502222868432285,0.7725698171567715,0.0611737651567715,100
30,IA-FMR,0.918234425,0.8509576798083813,0.9855111701916186,0.0672767451916186,100
40,IA-FMR,1.2254073225,1.1371599232433676,1.3136547217566323,0.0882473992566324,100
50,IA-FMR,1.4078929825000004,1.235730628686355,1.5800553363136458,0.1721623538136454,100
60,IA-FMR,1.2421987075,1.0904068568677823,1.3939905581322178,0.1517918506322179,100
70,IA-FMR,1.1157153974999998,0.9743739198286673,1.2570568751713322,0.1413414776713325,100
80,IA-FMR,1.3150606000000002,1.1529863125655007,1.4771348874344998,0.1620742874344996,100
90,IA-FMR,1.2324322225,1.0557195815786742,1.4091448634213257,0.1767126409213258,100
100,IA-FMR,1.27610402225,1.0764726834350034,1.4757353610649966,0.1996313388149966,100
