bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,0.9881832279054314,0.9881285585712374,0.9882378972396255,5.466933419408309e-05,100
15,RR,0.9876543209876548,0.9876543209876548,0.9876543209876548,1.565378276075062e-17,100
20,RR,0.9971600993965208,0.9971600993965208,0.9971600993965208,1.4346928882706905e-17,100
25,RR,0.9958847736625512,0.9958847736625512,0.9958847736625512,1.4684549872375404e-17,100
30,RR,0.9987515605493136,0.9987515605493136,0.9987515605493136,1.4346928882706905e-17,100
40,RR,0.9987555555555558,0.9987555555555558,0.9987555555555558,2.1690517657812706e-17,100
50,RR,0.9989060795636908,0.9987009188501768,0.9991112402772049,0.0002051607135141,100
60,RR,0.9985790094755248,0.9980103772164816,0.999147641734568,0.0005686322590432,100
70,RR,0.9988081809989092,0.9983227460258469,0.9992936159719715,0.0004854349730623,100
80,RR,0.9979115307573324,0.9972066902039035,0.9986163713107613,0.0007048405534289,100
90,RR,0.9988144739734496,0.9983256747813419,0.9993032731655572,0.0004887991921076,100
100,RR,0.9988994956076692,0.9984565306119961,0.9993424606033423,0.0004429649956731,100
10,PF,0.6779933472071,0.6638652984936912,0.6921213959205088,0.0141280487134088,100
15,PF,0.6452442969488033,0.6300600141115722,0.6604285797860343,0.015184282837231,100
20,PF,0.6163927301644556,0.6026878568777971,0.6300976034511141,0.0137048732866585,100
25,PF,0.5960165366815785,0.5828922404647938,0.6091408328983632,0.0131242962167847,100
30,PF,0.5852588684323721,0.5734281919896846,0.5970895448750595,0.0118306764426874,100
40,PF,0.5926111803700371,0.5807490144371377,0.6044733463029366,0.0118621659328995,100
50,PF,0.5896747492102761,0.5758776940854735,0.6034718043350786,0.0137970551248026,100
60,PF,0.5848479599101897,0.571221784507998,0.5984741353123814,0.0136261754021917,100
70,PF,0.5712613477213911,0.558423051791054,0.5840996436517283,0.0128382959303371,100
80,PF,0.5782066013908742,0.5640145029493047,0.5923986998324438,0.0141920984415695,100
90,PF,0.5740890499334922,0.5608494846766611,0.5873286151903233,0.0132395652568311,100
100,PF,0.5788455149499373,0.5645725001774167,0.5931185297224579,0.0142730147725206,100
10,MR,0.4431734831237177,0.4244710881692736,0.4618758780781618,0.0187023949544441,100
15,MR,0.5023474373664,0.4843216044970784,0.5203732702357216,0.0180258328693216,100
20,MR,0.4619976265737077,0.441697785634414,0.4822974675130014,0.0202998409392937,100
25,MR,0.4279376608738684,0.4069525826672753,0.44892273908046154,0.0209850782065931,100
30,MR,0.4039064968627388,0.3847808673187518,0.4230321264067258,0.019125629543987,100
40,MR,0.3710891772405696,0.35386221584114014,0.3883161386399991,0.0172269613994295,100
50,MR,0.3493698679936136,0.3333083223810356,0.3654314136061916,0.016061545612578,100
60,MR,0.3544307918256625,0.3430039320635992,0.3658576515877258,0.0114268597620633,100
70,MR,0.3517001227879604,0.34087692946813675,0.3625233161077841,0.0108231933198237,100
80,MR,0.4017831344951071,0.3919923460297794,0.4115739229604348,0.0097907884653277,100
90,MR,0.4436746986811126,0.43009058167897196,0.4572588156832532,0.0135841170021406,100
100,MR,0.4419400887934753,0.4290211055516762,0.45485907203527437,0.0129189832417991,100
10,IA-FMR,0.7984917140191524,0.7888423136368019,0.8081411144015029,0.0096494003823505,100
15,IA-FMR,0.9769450594942846,0.9767086859391478,0.9771814330494213,0.0002363735551367,100
20,IA-FMR,0.9819596077348683,0.9813248057810585,0.9825944096886782,0.0006348019538098,100
25,IA-FMR,0.9930964952905064,0.9927493033554788,0.9934436872255339,0.0003471919350275,100
30,IA-FMR,0.9929382932652654,0.9927968645848058,0.993079721945725,0.0001414286804596,100
40,IA-FMR,0.994299503054804,0.9939871544656786,0.9946118516439293,0.0003123485891253,100
50,IA-FMR,0.9906668790930208,0.9895627425839841,0.9917710156020574,0.0011041365090366,100
60,IA-FMR,0.9921548546873952,0.9911000177761987,0.9932096915985916,0.0010548369111965,100
70,IA-FMR,0.9915722244656144,0.9905394039419793,0.9926050449892496,0.0010328205236352,100
80,IA-FMR,0.9916947759587496,0.9905759708161086,0.9928135811013905,0.0011188051426409,100
90,IA-FMR,0.9911861161009112,0.9901322390236721,0.9922399931781504,0.0010538770772391,100
100,IA-FMR,0.9905284418924049,0.9885257977808876,0.9925310860039221,0.0020026441115173,100
