bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,5250.678336111112,5223.479103941545,5277.877568280679,27.199232169567324,100
15,RR,5257.414097222222,5231.083270209319,5283.744924235125,26.33082701290301,100
20,RR,5241.873861111111,5213.0352754534515,5270.712446768771,28.83858565766001,100
25,RR,5067.511794444445,5009.981533867551,5125.0420550213385,57.5302605768937,100
30,RR,5049.133130555556,5003.858211943605,5094.408049167507,45.27491861195049,100
40,RR,4885.643222222222,4801.904877439109,4969.381567005335,83.73834478311296,100
50,RR,4673.327272222223,4535.871949492005,4810.78259495244,137.45532273021723,100
60,RR,4851.295911111111,4725.503248458507,4977.088573763715,125.79266265260388,100
70,RR,4774.556836111111,4637.214439864166,4911.899232358056,137.3423962469451,100
80,RR,4558.982616666666,4377.233919464373,4740.73131386896,181.7486972022932,100
90,RR,4470.7867027777775,4297.147757728644,4644.425647826911,173.63894504913372,100
100,RR,4830.075591666667,4675.572984865818,4984.578198467515,154.5026068008479,100
10,PF,5273.594816666667,5253.381842561298,5293.807790772035,20.212974105368183,100
15,PF,5253.535769444445,5237.276095124123,5269.795443764767,16.25967432032234,100
20,PF,5253.517572222222,5233.341525820505,5273.693618623939,20.176046401717183,100
25,PF,5204.045183333334,5179.1350134935565,5228.955353173111,24.91016983977674,100
30,PF,5144.476,5113.01052660294,5175.941473397059,31.46547339705947,100
40,PF,5081.829211111111,5042.166342843424,5121.492079378799,39.66286826768764,100
50,PF,5019.068444444445,4977.6322022175245,5060.504686671366,41.43624222692028,100
60,PF,4939.308694444444,4892.623629902386,4985.993758986502,46.685064542058434,100
70,PF,4899.940286111111,4847.879237204056,4952.001335018166,52.061048907054975,100
80,PF,4950.521741666667,4906.955466170912,4994.088017162423,43.56627549575533,100
90,PF,4956.846825,4911.575374452893,5002.118275547106,45.27145054710643,100
100,PF,4981.104472222222,4938.911609439117,5023.297335005328,42.19286278310591,100
10,MR,2171.470682430556,2053.972627037099,2288.968737824013,117.49805539345677,100
15,MR,2237.0145518555555,2138.8561767581496,2335.1729269529615,98.15837509740597,100
20,MR,1892.6605033444444,1772.7405910921664,2012.5804155967223,119.91991225227795,100
25,MR,1435.6155108305556,1287.358163129712,1583.8728585313993,148.25734770084358,100
30,MR,921.8683192638888,816.3489994933649,1027.3876390344126,105.51931977052388,100
40,MR,704.598538275,645.5624098253649,763.6346667246352,59.03612844963518,100
50,MR,656.4038272972222,606.2563348270127,706.5513197674317,50.1474924702095,100
60,MR,634.6095063944445,573.7435848650769,695.475427923812,60.86592152936764,100
70,MR,730.0782243805555,653.4168725857345,806.7395761753766,76.661351794821,100
80,MR,1150.5057073277778,1022.0840139028116,1278.927400752744,128.42169342496612,100
90,MR,1520.199365663889,1373.1229994978992,1667.2757318298789,147.07636616598978,100
100,MR,1535.273042263889,1400.8347674716972,1669.7113170560808,134.43827479219178,100
10,IA-FMR,4267.357130555555,4207.751929566585,4326.962331544525,59.60520098896978,100
15,IA-FMR,5191.557825,5148.580011424663,5234.535638575337,42.97781357533701,100
20,IA-FMR,5090.050294444444,5032.585284166578,5147.51530472231,57.46501027786627,100
25,IA-FMR,4833.06878888889,4751.97079172908,4914.1667860487,81.09799715980975,100
30,IA-FMR,4621.52758611111,4540.980137222971,4702.0750349992495,80.5474488881388,100
40,IA-FMR,4321.0645583333335,4214.563583517151,4427.565533149516,106.50097481618248,100
50,IA-FMR,4364.0450527777775,4247.628696010266,4480.461409545289,116.41635676751136,100
60,IA-FMR,4612.403422222222,4457.809947971037,4766.996896473406,154.5934742511842,100
70,IA-FMR,4568.633427777778,4411.079838565684,4726.187016989871,157.55358921209293,100
80,IA-FMR,4551.881680277777,4407.479335449111,4696.284025106444,144.4023448286659,100
90,IA-FMR,4631.158527777778,4483.230902978111,4779.086152577444,147.9276247996666,100
100,IA-FMR,4554.001046666667,4356.685988184684,4751.31610514865,197.3150584819834,100
