bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,0.0120977828173449,0.00680932319714,0.017386242437549798,0.0052884596202049,100
15,RR,0.0,0.0,0.0,0.0,100
20,RR,0.0,0.0,0.0,0.0,100
25,RR,0.0,0.0,0.0,0.0,100
30,RR,0.0,0.0,0.0,0.0,100
40,RR,0.0,0.0,0.0,0.0,100
50,RR,0.0,0.0,0.0,0.0,100
60,RR,0.0,0.0,0.0,0.0,100
70,RR,0.0,0.0,0.0,0.0,100
80,RR,0.0,0.0,0.0,0.0,100
90,RR,0.0,0.0,0.0,0.0,100
100,RR,0.0,0.0,0.0,0.0,100
10,PF,26.04470287432509,24.590133697837725,27.499272050812454,1.454569176487363,100
15,PF,29.531025418064804,28.04319589041668,31.018854945712928,1.4878295276481253,100
20,PF,32.16038948103371,30.753911680320382,33.56686728174704,1.4064778007133287,100
25,PF,34.48297368038333,33.131549490573995,35.83439787019267,1.3514241898093375,100
30,PF,35.62359860896924,34.43346358574217,36.81373363219631,1.1901350232270684,100
40,PF,34.7897746798063,33.59257552677121,35.986973832841386,1.1971991530350865,100
50,PF,35.425461204933825,34.05957381777634,36.79134859209131,1.365887387157488,100
60,PF,36.04829493297353,34.7171347175111,37.379455148435966,1.331160215462432,100
70,PF,37.406798732835576,36.12035187684646,38.69324558882469,1.2864468559891111,100
80,PF,36.77216228520732,35.38358902159393,38.16073554882072,1.3885732636133974,100
90,PF,37.32764278728282,36.045499441491295,38.609786133074344,1.2821433457915234,100
100,PF,36.819563623845326,35.42508450837554,38.21404273931511,1.394479115469785,100
10,MR,55.4421111038296,53.55305700411974,57.33116520353947,1.889054099709864,100
15,MR,49.70275551797308,47.891521347513304,51.51398968843286,1.8112341704597743,100
20,MR,53.5111378251021,51.507361811463255,55.51491383874094,2.00377601363884,100
25,MR,56.62270363798936,54.52838490973645,58.71702236624227,2.094318728252906,100
30,MR,59.062444669203416,57.15189556818484,60.97299377022199,1.910549101018574,100
40,MR,61.95559245368011,60.152129756603564,63.75905515075666,1.8034626970765504,100
50,MR,64.01275512924795,62.31407252836576,65.71143773013014,1.6986826008821876,100
60,MR,63.33857673056429,62.116451981607945,64.56070147952063,1.2221247489563456,100
70,MR,63.52167601933044,62.34164912338829,64.70170291527259,1.1800268959421556,100
80,MR,58.57635939405717,57.5339428628157,59.61877592529864,1.0424165312414686,100
90,MR,54.38022331641504,52.98245477628261,55.77799185654747,1.3977685401324291,100
100,MR,54.592278680512365,53.24590689911892,55.93865046190581,1.3463717813934462,100
10,IA-FMR,18.89210725447111,17.889557867569817,19.894656641372404,1.0025493869012925,100
15,IA-FMR,0.0,0.0,0.0,0.0,100
20,IA-FMR,0.0,0.0,0.0,0.0,100
25,IA-FMR,0.0,0.0,0.0,0.0,100
30,IA-FMR,0.0,0.0,0.0,0.0,100
40,IA-FMR,0.0,0.0,0.0,0.0,100
50,IA-FMR,0.0,0.0,0.0,0.0,100
60,IA-FMR,0.0,0.0,0.0,0.0,100
70,IA-FMR,0.0,0.0,0.0,0.0,100
80,IA-FMR,0.0,0.0,0.0,0.0,100
90,IA-FMR,0.0,0.0,0.0,0.0,100
100,IA-FMR,0.0,0.0,0.0,0.0,100
