bandwidth_mhz,scheduler,mean,CI95_low,CI95_high,CI95,n
10,RR,8.99891119954644,8.99843523818062,8.999387160912258,0.0004759613658184,100
15,RR,9.0,9.0,9.0,0.0,100
20,RR,9.0,9.0,9.0,0.0,100
25,RR,9.0,9.0,9.0,0.0,100
30,RR,9.0,9.0,9.0,0.0,100
40,RR,9.0,9.0,9.0,0.0,100
50,RR,8.99774347654221,8.995839856619991,8.999647096464429,0.0019036199222184,100
60,RR,8.98966260213905,8.982384629571076,8.996940574707025,0.0072779725679753,100
70,RR,8.9793905175353,8.964176936479975,8.994604098590626,0.0152135810553262,100
80,RR,8.966824934167946,8.953288922583353,8.980360945752539,0.0135360115845939,100
90,RR,8.96232415798864,8.94426056521141,8.98038775076587,0.0180635927772297,100
100,RR,8.963080460477391,8.940689058094828,8.985471862859955,0.0223914023825644,100
10,PF,6.655976741310742,6.525065515426879,6.7868879671946045,0.1309112258838626,100
15,PF,6.342207712374168,6.208303054885836,6.476112369862499,0.1339046574883313,100
20,PF,6.1055649467069655,5.978981944642766,6.232147948771165,0.1265830020641995,100
25,PF,5.8965323687655,5.774904191682659,6.01816054584834,0.1216281770828403,100
30,PF,5.793876125192768,5.686763973102332,5.900988277283204,0.107112152090436,100
40,PF,5.868920278817432,5.761172355044275,5.97666820259059,0.1077479237731577,100
50,PF,5.811693589986215,5.688767511380548,5.934619668591883,0.1229260786056674,100
60,PF,5.755520508028175,5.6357516520057125,5.875289364050637,0.1197688560224623,100
70,PF,5.63291274410755,5.5172450550899494,5.74858043312515,0.1156676890176003,100
80,PF,5.689473815562159,5.564668890247607,5.81427874087671,0.1248049253145516,100
90,PF,5.639522105645316,5.524207730555035,5.754836480735597,0.1153143750902808,100
100,PF,5.68519738224321,5.5597750670687445,5.810619697417676,0.1254223151744657,100
10,MR,4.010210000655335,3.8401951316814475,4.180224869629223,0.1700148689738878,100
15,MR,4.525952566452134,4.362683617895207,4.689221515009062,0.1632689485569277,100
20,MR,4.167380673696761,3.983971429526524,4.350789917866998,0.1834092441702372,100
25,MR,3.853345630442399,3.6616328371261333,4.0450584237586655,0.191712793316266,100
30,MR,3.587982488906415,3.4183193209571443,3.757645656855686,0.1696631679492708,100
40,MR,3.3113028226494863,3.156395041294937,3.4662106040040355,0.1549077813545492,100
50,MR,3.1159376672370884,2.974002530972002,3.257872803502175,0.1419351362650867,100
60,MR,3.179291192320109,3.077903209252424,3.2806791753877937,0.1013879830676849,100
70,MR,3.165250563853858,3.068583381796824,3.261917745910892,0.0966671820570339,100
80,MR,3.596069709640661,3.5090471268389516,3.68309229244237,0.0870225828017094,100
90,MR,3.9717833053505736,3.8531257420712572,4.09044086862989,0.1186575632793165,100
100,MR,3.946150431128239,3.833586034477437,4.058714827779041,0.1125643966508022,100
10,IA-FMR,7.299710347097598,7.209480902276481,7.389939791918715,0.0902294448211163,100
15,IA-FMR,9.0,9.0,9.0,0.0,100
20,IA-FMR,9.0,9.0,9.0,0.0,100
25,IA-FMR,9.0,9.0,9.0,0.0,100
30,IA-FMR,9.0,9.0,9.0,0.0,100
40,IA-FMR,9.0,9.0,9.0,0.0,100
50,IA-FMR,8.976547845501333,8.96992955848257,8.983166132520097,0.0066182870187631,100
60,IA-FMR,8.980714406811064,8.974221909502852,8.987206904119276,0.0064924973082117,100
70,IA-FMR,8.982442548327283,8.974629931023296,8.99025516563127,0.0078126173039863,100
80,IA-FMR,8.980580434080744,8.972630660722638,8.988530207438851,0.0079497733581072,100
90,IA-FMR,8.9784574675164,8.969708368012412,8.987206567020387,0.0087490995039865,100
100,IA-FMR,8.972570409799966,8.956780593049968,8.988360226549963,0.0157898167499964,100
