figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,RR,0.45,8.999996906682725
fig05,(a) Effective number of UEs.,RR,0.55,8.999997083392143
fig05,(a) Effective number of UEs.,RR,0.65,8.999997711247511
fig05,(a) Effective number of UEs.,RR,0.75,8.999997419768127
fig05,(a) Effective number of UEs.,RR,0.8500000000000001,8.99999703846744
fig05,(a) Effective number of UEs.,RR,0.95,8.999996490955816
fig05,(a) Effective number of UEs.,RR,1.05,8.999997292919756
fig05,(a) Effective number of UEs.,RR,1.15,8.999997915002588
fig05,(a) Effective number of UEs.,RR,1.25,8.99999844862218
fig05,(a) Effective number of UEs.,RR,1.35,8.99999861491905
fig05,(a) Effective number of UEs.,RR,1.4500000000000002,8.99999813874208
fig05,(a) Effective number of UEs.,RR,1.55,8.99999861456991
fig05,(a) Effective number of UEs.,RR,1.65,8.999997062466498
fig05,(a) Effective number of UEs.,RR,1.75,8.999996821540899
fig05,(a) Effective number of UEs.,RR,1.85,8.999996461279268
fig05,(a) Effective number of UEs.,RR,1.95,8.999997205720641
fig05,(a) Effective number of UEs.,RR,2.0500000000000003,8.99999783499545
fig05,(a) Effective number of UEs.,RR,2.15,8.999997282663353
fig05,(a) Effective number of UEs.,RR,2.25,8.999997531567978
fig05,(a) Effective number of UEs.,RR,2.35,8.999996898015866
fig05,(a) Effective number of UEs.,RR,2.45,8.999997196995396
fig05,(a) Effective number of UEs.,RR,2.5500000000000003,8.999996961600575
fig05,(a) Effective number of UEs.,RR,2.6500000000000004,8.999997321434504
fig05,(a) Effective number of UEs.,RR,2.75,8.999996962628346
fig05,(a) Effective number of UEs.,RR,2.85,8.9999974174638
fig05,(a) Effective number of UEs.,RR,2.95,8.999997930688139
fig05,(a) Effective number of UEs.,RR,3.0500000000000003,8.999997893661074
fig05,(a) Effective number of UEs.,RR,3.1500000000000004,8.999997556196432
fig05,(a) Effective number of UEs.,RR,3.25,8.999997542304401
fig05,(a) Effective number of UEs.,RR,3.35,8.999997461960659
fig05,(a) Effective number of UEs.,RR,3.45,8.999996586638675
fig05,(a) Effective number of UEs.,RR,3.5500000000000003,8.999996427510794
fig05,(a) Effective number of UEs.,RR,3.65,8.999996507854538
fig05,(a) Effective number of UEs.,RR,3.75,8.999997741982675
fig05,(a) Effective number of UEs.,RR,3.85,8.999997901110557
fig05,(a) Effective number of UEs.,RR,3.95,8.999998540753408
fig05,(a) Effective number of UEs.,RR,4.05,8.999999154367602
fig05,(a) Effective number of UEs.,RR,4.15,8.999998195103766
fig05,(a) Effective number of UEs.,RR,4.25,8.999997555460917
fig05,(a) Effective number of UEs.,RR,4.3500000000000005,8.99999631976389
fig05,(a) Effective number of UEs.,RR,4.45,8.999997119899843
fig05,(a) Effective number of UEs.,RR,4.55,8.999998129347262
fig05,(a) Effective number of UEs.,RR,4.65,8.999999365044289
fig05,(a) Effective number of UEs.,RR,4.75,8.99999936504429
fig05,(a) Effective number of UEs.,RR,4.8500000000000005,8.99999857510683
fig05,(a) Effective number of UEs.,RR,4.95,8.999997599946694
fig05,(a) Effective number of UEs.,RR,5.050000000000001,8.999997759074576
fig05,(a) Effective number of UEs.,RR,5.15,8.999997539564617
fig05,(a) Effective number of UEs.,RR,5.25,8.999997035507024
fig05,(a) Effective number of UEs.,RR,5.3500000000000005,8.999997035507024
fig05,(a) Effective number of UEs.,RR,5.45,8.99999734351249
fig05,(a) Effective number of UEs.,RR,5.550000000000001,8.999998360794422
fig05,(a) Effective number of UEs.,RR,5.65,8.99999822300805
fig05,(a) Effective number of UEs.,RR,5.75,8.999997821149039
fig05,(a) Effective number of UEs.,RR,5.8500000000000005,8.99999717978387
fig05,(a) Effective number of UEs.,RR,5.95,8.999997793398068
fig05,(a) Effective number of UEs.,RR,6.050000000000001,8.999997048956697
fig05,(a) Effective number of UEs.,RR,6.15,8.999998152257662
fig05,(a) Effective number of UEs.,RR,6.25,8.999997177097526
fig05,(a) Effective number of UEs.,RR,6.3500000000000005,8.999998283323473
fig05,(a) Effective number of UEs.,RR,6.45,8.99999758188152
fig05,(a) Effective number of UEs.,RR,6.550000000000001,8.999998261402729
fig05,(a) Effective number of UEs.,RR,6.65,8.99999809032539
fig05,(a) Effective number of UEs.,RR,6.75,8.999997937371006
fig05,(a) Effective number of UEs.,RR,6.8500000000000005,8.999997937371006
fig05,(a) Effective number of UEs.,RR,6.95,8.999997614267706
fig05,(a) Effective number of UEs.,RR,7.050000000000001,8.999996493821175
fig05,(a) Effective number of UEs.,RR,7.15,8.99999531024237
fig05,(a) Effective number of UEs.,RR,7.25,8.9999956563139
fig05,(a) Effective number of UEs.,RR,7.35,8.999996367257033
fig05,(a) Effective number of UEs.,RR,7.45,8.999996582575026
fig05,(a) Effective number of UEs.,RR,7.550000000000001,8.999996382409362
fig05,(a) Effective number of UEs.,RR,7.65,8.99999727650453
fig05,(a) Effective number of UEs.,RR,7.75,8.999998540404269
fig05,(a) Effective number of UEs.,RR,7.85,8.999998620748011
fig05,(a) Effective number of UEs.,RR,7.95,8.999998215407095
fig05,(a) Effective number of UEs.,RR,8.05,8.999997631347044
fig05,(a) Effective number of UEs.,RR,8.15,8.999997376894726
fig05,(a) Effective number of UEs.,RR,8.25,8.999997362102752
fig05,(a) Effective number of UEs.,RR,8.35,8.999997033569073
fig05,(a) Effective number of UEs.,RR,8.450000000000001,8.999997061771785
fig05,(a) Effective number of UEs.,RR,8.55,8.999996372491513
fig05,(a) Effective number of UEs.,RR,8.65,8.999997285085243
fig05,(a) Effective number of UEs.,RR,8.75,8.99999773084481
fig05,(a) Effective number of UEs.,RR,8.85,8.999998626002489
fig05,(a) Effective number of UEs.,RR,8.950000000000001,8.999997295285725
fig05,(a) Effective number of UEs.,RR,9.05,8.999997230826848
fig05,(a) Effective number of UEs.,RR,9.15,8.999997814886898
fig05,(a) Effective number of UEs.,RR,9.25,8.999998510647954
fig05,(a) Effective number of UEs.,RR,9.35,8.999998510647954
fig05,(a) Effective number of UEs.,RR,9.45,8.999998510647954
fig05,(a) Effective number of UEs.,RR,9.55,8.999999145603661
fig05,(a) Effective number of UEs.,RR,9.65,8.999998520782269
fig05,(a) Effective number of UEs.,RR,9.75,8.999996545939398
fig05,(a) Effective number of UEs.,RR,9.85,8.999995456148234
fig05,(a) Effective number of UEs.,RR,9.95,8.999995832064998
fig05,(a) Effective number of UEs.,RR,10.05,8.999995720980165
fig05,(a) Effective number of UEs.,RR,10.15,8.999996810771329
fig05,(a) Effective number of UEs.,RR,10.25,8.999997059675954
fig05,(a) Effective number of UEs.,RR,10.35,8.99999766638593
fig05,(a) Effective number of UEs.,RR,10.45,8.99999692486954
fig05,(a) Effective number of UEs.,RR,10.55,8.999996515366142
fig05,(a) Effective number of UEs.,RR,10.65,8.999997359628162
fig05,(a) Effective number of UEs.,RR,10.75,8.999997091697134
fig05,(a) Effective number of UEs.,RR,10.85,8.999997720641161
fig05,(a) Effective number of UEs.,RR,10.95,8.999997265805709
fig05,(a) Effective number of UEs.,RR,11.05,8.999996572454782
fig05,(a) Effective number of UEs.,RR,11.15,8.999995876693726
fig05,(a) Effective number of UEs.,RR,11.25,8.99999499164202
fig05,(a) Effective number of UEs.,RR,11.35,8.999993534693019
fig05,(a) Effective number of UEs.,RR,11.45,8.999994865409782
fig05,(a) Effective number of UEs.,RR,11.55,8.999994909476497
fig05,(a) Effective number of UEs.,RR,11.65,8.999996738507077
fig05,(a) Effective number of UEs.,RR,11.75,8.99999582591335
fig05,(a) Effective number of UEs.,RR,11.85,8.999996425972745
fig05,(a) Effective number of UEs.,RR,11.95,8.999995339317694
fig05,(a) Effective number of UEs.,RR,12.05,8.999994988011684
fig05,(a) Effective number of UEs.,RR,12.15,8.999995528790986
fig05,(a) Effective number of UEs.,RR,12.25,8.999997091766462
fig05,(a) Effective number of UEs.,RR,12.35,8.999997443072472
fig05,(a) Effective number of UEs.,RR,12.45,8.999997378613594
fig05,(a) Effective number of UEs.,RR,12.55,8.999996753792203
fig05,(a) Effective number of UEs.,RR,12.65,8.999997666385932
fig05,(a) Effective number of UEs.,RR,12.75,8.999997417481303
fig05,(a) Effective number of UEs.,RR,12.85,8.99999746160737
fig05,(a) Effective number of UEs.,RR,12.95,8.999996126613302
fig05,(a) Effective number of UEs.,RR,13.05,8.999996254754134
fig05,(a) Effective number of UEs.,RR,13.15,8.999995272473983
fig05,(a) Effective number of UEs.,RR,13.25,8.99999575307171
fig05,(a) Effective number of UEs.,RR,13.35,8.9999950254335
fig05,(a) Effective number of UEs.,RR,13.45,8.999996112088551
fig05,(a) Effective number of UEs.,RR,13.55,8.999996076859391
fig05,(a) Effective number of UEs.,RR,13.65,8.999996448940975
fig05,(a) Effective number of UEs.,RR,13.75,8.99999644466367
fig05,(a) Effective number of UEs.,RR,13.85,8.999996361868817
fig05,(a) Effective number of UEs.,RR,13.95,8.999995606657874
fig05,(a) Effective number of UEs.,RR,14.05,8.999996306696232
fig05,(a) Effective number of UEs.,RR,14.15,8.999996015216846
fig05,(a) Effective number of UEs.,RR,14.25,8.999996621926822
fig05,(a) Effective number of UEs.,RR,14.35,8.999996401254089
fig05,(a) Effective number of UEs.,RR,14.45,8.999996775528325
fig05,(a) Effective number of UEs.,RR,14.55,8.999997400349718
fig05,(a) Effective number of UEs.,RR,14.65,8.999996920984096
fig05,(a) Effective number of UEs.,RR,14.75,8.999997810609594
fig05,(a) Effective number of UEs.,RR,14.85,8.999997689845799
fig05,(a) Effective number of UEs.,RR,14.95,8.999999024839864
fig05,(a) Effective number of UEs.,RR,15.05,8.999996938912158
fig05,(a) Effective number of UEs.,RR,15.15,8.999996650172555
