figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,1,0.45,11.113164072689331
fig06,(a) RR,RR,1,0.55,11.111082128124124
fig06,(a) RR,RR,1,0.65,11.109100203278716
fig06,(a) RR,RR,1,0.75,11.112377510268743
fig06,(a) RR,RR,1,0.8500000000000001,11.115045701616175
fig06,(a) RR,RR,1,0.95,11.1114935561203
fig06,(a) RR,RR,1,1.05,11.109857197658192
fig06,(a) RR,RR,1,1.15,11.109178843925791
fig06,(a) RR,RR,1,1.25,11.111695655547203
fig06,(a) RR,RR,1,1.35,11.110770757286012
fig06,(a) RR,RR,1,1.4500000000000002,11.112674300922848
fig06,(a) RR,RR,1,1.55,11.113195802429985
fig06,(a) RR,RR,1,1.65,11.109496209385222
fig06,(a) RR,RR,1,1.75,11.111615248528112
fig06,(a) RR,RR,1,1.85,11.112069022566793
fig06,(a) RR,RR,1,1.95,11.114591472370044
fig06,(a) RR,RR,1,2.0500000000000003,11.110933952753546
fig06,(a) RR,RR,1,2.15,11.106658550482855
fig06,(a) RR,RR,1,2.25,11.108945571637804
fig06,(a) RR,RR,1,2.35,11.109735324947588
fig06,(a) RR,RR,1,2.45,11.114149166755498
fig06,(a) RR,RR,1,2.5500000000000003,11.111453748965742
fig06,(a) RR,RR,1,2.6500000000000004,11.111595400050788
fig06,(a) RR,RR,1,2.75,11.109876070314291
fig06,(a) RR,RR,1,2.85,11.111270251929684
fig06,(a) RR,RR,1,2.95,11.10989540316305
fig06,(a) RR,RR,1,3.0500000000000003,11.112541675887917
fig06,(a) RR,RR,1,3.1500000000000004,11.112016983882125
fig06,(a) RR,RR,1,3.25,11.110981650007655
fig06,(a) RR,RR,1,3.35,11.111958250656118
fig06,(a) RR,RR,1,3.45,11.108974707878083
fig06,(a) RR,RR,1,3.5500000000000003,11.10889378523042
fig06,(a) RR,RR,1,3.65,11.10791718458196
fig06,(a) RR,RR,1,3.75,11.11262005709649
fig06,(a) RR,RR,1,3.85,11.112700979744153
fig06,(a) RR,RR,1,3.95,11.11072207843016
fig06,(a) RR,RR,1,4.05,11.110129864854258
fig06,(a) RR,RR,1,4.15,11.113515350048145
fig06,(a) RR,RR,1,4.25,11.11093678166931
fig06,(a) RR,RR,1,4.3500000000000005,11.112207348977613
fig06,(a) RR,RR,1,4.45,11.108740941136064
fig06,(a) RR,RR,1,4.55,11.111779254264611
fig06,(a) RR,RR,1,4.65,11.110508686956312
fig06,(a) RR,RR,1,4.75,11.11050868695631
fig06,(a) RR,RR,1,4.8500000000000005,11.11185255622471
fig06,(a) RR,RR,1,4.95,11.109491704807256
fig06,(a) RR,RR,1,5.050000000000001,11.114266141019169
fig06,(a) RR,RR,1,5.15,11.10988395862222
fig06,(a) RR,RR,1,5.25,11.115922768037397
fig06,(a) RR,RR,1,5.3500000000000005,11.11122925447314
fig06,(a) RR,RR,1,5.45,11.110917099014728
fig06,(a) RR,RR,1,5.550000000000001,11.107752973384336
fig06,(a) RR,RR,1,5.65,11.10886668846738
fig06,(a) RR,RR,1,5.75,11.1153935753251
fig06,(a) RR,RR,1,5.8500000000000005,11.113291533822393
fig06,(a) RR,RR,1,5.95,11.112699320246492
fig06,(a) RR,RR,1,6.050000000000001,11.111578231445046
fig06,(a) RR,RR,1,6.15,11.113166440580423
fig06,(a) RR,RR,1,6.25,11.11080558916297
fig06,(a) RR,RR,1,6.3500000000000005,11.107766017412578
fig06,(a) RR,RR,1,6.45,11.108723294151709
fig06,(a) RR,RR,1,6.550000000000001,11.1106730796753
fig06,(a) RR,RR,1,6.65,11.112749215736956
fig06,(a) RR,RR,1,6.75,11.110394314958688
fig06,(a) RR,RR,1,6.8500000000000005,11.110394314958688
fig06,(a) RR,RR,1,6.95,11.110572988486418
fig06,(a) RR,RR,1,7.050000000000001,11.115330285696546
