scheduler,pdb_ms,metric,mean,CI95_low,CI95_high,CI95,n
RR,60,freezing_duration_p95_s,12.016901268127917,9.384835740092099,14.648966796163736,2.6320655280358185,90
PF,60,freezing_duration_p95_s,15.315152944040552,12.404535415151624,18.22577047292948,2.9106175288889284,90
MR,60,freezing_duration_p95_s,17.47797516430629,14.788564567353005,20.167385761259574,2.6894105969532855,96
IA-FMR,60,freezing_duration_p95_s,8.171261714309063,5.6652208992462585,10.677302529371868,2.5060408150628044,91
RR,80,freezing_duration_p95_s,12.875520953611108,10.273041780821583,15.478000126400634,2.602479172789526,96
PF,80,freezing_duration_p95_s,16.285395634532602,13.480661268530442,19.090130000534764,2.80473436600216,97
MR,80,freezing_duration_p95_s,17.84325903625888,15.197132659168464,20.489385413349293,2.6461263770904146,99
IA-FMR,80,freezing_duration_p95_s,9.45451532421542,6.876393597806705,12.032637050624135,2.578121726408715,97
RR,60,freezing_frequency_events_per_min,2.756666666666667,2.3376747556422077,3.175658577691126,0.418991911024459,100
PF,60,freezing_frequency_events_per_min,2.47,1.9733820114695941,2.9666179885304063,0.496617988530406,100
MR,60,freezing_frequency_events_per_min,2.623333333333333,1.952440555817761,3.2942261108489053,0.670892777515572,100
IA-FMR,60,freezing_frequency_events_per_min,2.3433333333333333,2.013520083859302,2.6731465828073646,0.3298132494740312,100
RR,80,freezing_frequency_events_per_min,2.726666666666667,2.3810324943111434,3.0723008390221906,0.3456341723555236,100
PF,80,freezing_frequency_events_per_min,2.29,2.055693522907215,2.524306477092785,0.2343064770927851,100
MR,80,freezing_frequency_events_per_min,1.9633333333333327,1.8719256082166946,2.054741058449971,0.0914077251166381,100
IA-FMR,80,freezing_frequency_events_per_min,2.1666666666666665,1.9472125126812405,2.3861208206520925,0.2194541539854259,100
RR,60,temporally_satisfied_ues_pct,40.0,30.349627107220314,49.650372892779686,9.650372892779684,100
PF,60,temporally_satisfied_ues_pct,39.66666666666667,30.233412309523832,49.099921023809515,9.43325435714284,100
MR,60,temporally_satisfied_ues_pct,41.16666666666667,32.02736828770408,50.305965045629264,9.13929837896259,100
IA-FMR,60,temporally_satisfied_ues_pct,59.16666666666667,49.61311566715153,68.72021766618181,9.55355099951514,100
RR,80,temporally_satisfied_ues_pct,40.0,30.349627107220314,49.650372892779686,9.650372892779684,100
PF,80,temporally_satisfied_ues_pct,40.16666666666667,30.650194586479905,49.68313874685344,9.516472080186766,100
MR,80,temporally_satisfied_ues_pct,43.33333333333334,34.15232037845382,52.51434628821286,9.18101295487952,100
IA-FMR,80,temporally_satisfied_ues_pct,60.0,50.4056367090633,69.5943632909367,9.594363290936696,100
