time_s,alpha_t,mean,CI95_low,CI95_high,n
0.45,0.9973917171052632,0.9973917171052632,,,1
0.55,0.9976018114035088,0.9976018114035088,,,1
0.65,0.998022,0.998022,,,1
0.75,0.998022,0.998022,,,1
0.8500000000000001,0.998022,0.998022,,,1
0.95,0.998022,0.998022,,,1
1.05,0.998022,0.998022,,,1
1.15,0.998022,0.998022,,,1
1.25,0.998022,0.998022,,,1
1.35,0.998022,0.998022,,,1
1.4500000000000002,0.998022,0.998022,,,1
1.55,0.998022,0.998022,,,1
1.65,0.998022,0.998022,,,1
1.75,0.998022,0.998022,,,1
1.85,0.998022,0.998022,,,1
1.95,0.998022,0.998022,,,1
2.0500000000000003,0.998022,0.998022,,,1
2.15,0.998022,0.998022,,,1
2.25,0.998022,0.998022,,,1
2.35,0.998022,0.998022,,,1
2.45,0.998022,0.998022,,,1
2.5500000000000003,0.998022,0.998022,,,1
2.6500000000000004,0.998022,0.998022,,,1
2.75,0.998022,0.998022,,,1
2.85,0.998022,0.998022,,,1
2.95,0.998022,0.998022,,,1
3.0500000000000003,0.998022,0.998022,,,1
3.1500000000000004,0.998022,0.998022,,,1
3.25,0.998022,0.998022,,,1
3.35,0.998022,0.998022,,,1
3.45,0.998022,0.998022,,,1
3.5500000000000003,0.998022,0.998022,,,1
3.65,0.998022,0.998022,,,1
3.75,0.998022,0.998022,,,1
3.85,0.998022,0.998022,,,1
3.95,0.998022,0.998022,,,1
4.05,0.998022,0.998022,,,1
4.15,0.998022,0.998022,,,1
4.25,0.998022,0.998022,,,1
4.3500000000000005,0.998022,0.998022,,,1
4.45,0.998022,0.998022,,,1
4.55,0.998022,0.998022,,,1
4.65,0.998022,0.998022,,,1
4.75,0.998022,0.998022,,,1
4.8500000000000005,0.998022,0.998022,,,1
4.95,0.998022,0.998022,,,1
5.050000000000001,0.998022,0.998022,,,1
5.15,0.998022,0.998022,,,1
5.25,0.998022,0.998022,,,1
5.3500000000000005,0.998022,0.998022,,,1
5.45,0.998022,0.998022,,,1
5.550000000000001,0.998022,0.998022,,,1
5.65,0.998022,0.998022,,,1
5.75,0.998022,0.998022,,,1
5.8500000000000005,0.998022,0.998022,,,1
5.95,0.998022,0.998022,,,1
6.050000000000001,0.998022,0.998022,,,1
6.15,0.998022,0.998022,,,1
6.25,0.998022,0.998022,,,1
6.3500000000000005,0.998022,0.998022,,,1
6.45,0.998022,0.998022,,,1
6.550000000000001,0.998022,0.998022,,,1
6.65,0.998022,0.998022,,,1
6.75,0.998022,0.998022,,,1
6.8500000000000005,0.998022,0.998022,,,1
6.95,0.998022,0.998022,,,1
7.050000000000001,0.998022,0.998022,,,1
7.15,0.998022,0.998022,,,1
7.25,0.998022,0.998022,,,1
7.35,0.998022,0.998022,,,1
7.45,0.998022,0.998022,,,1
7.550000000000001,0.998022,0.998022,,,1
7.65,0.998022,0.998022,,,1
7.75,0.998022,0.998022,,,1
7.85,0.998022,0.998022,,,1
7.95,0.998022,0.998022,,,1
8.05,0.998022,0.998022,,,1
8.15,0.998022,0.998022,,,1
8.25,0.998022,0.998022,,,1
8.35,0.998022,0.998022,,,1
8.450000000000001,0.998022,0.998022,,,1
8.55,0.998022,0.998022,,,1
8.65,0.998022,0.998022,,,1
8.75,0.998022,0.998022,,,1
8.85,0.998022,0.998022,,,1
8.950000000000001,0.998022,0.998022,,,1
9.05,0.998022,0.998022,,,1
9.15,0.998022,0.998022,,,1
9.25,0.998022,0.998022,,,1
9.35,0.998022,0.998022,,,1
9.45,0.998022,0.998022,,,1
9.55,0.998022,0.998022,,,1
9.65,0.998022,0.998022,,,1
9.75,0.998022,0.998022,,,1
9.85,0.998022,0.998022,,,1
9.95,0.998022,0.998022,,,1
10.05,0.998022,0.998022,,,1
10.15,0.998022,0.998022,,,1
10.25,0.998022,0.998022,,,1
10.35,0.998022,0.998022,,,1
10.45,0.998022,0.998022,,,1
10.55,0.998022,0.998022,,,1
10.65,0.998022,0.998022,,,1
10.75,0.998022,0.998022,,,1
10.85,0.998022,0.998022,,,1
10.95,0.998022,0.998022,,,1
11.05,0.998022,0.998022,,,1
11.15,0.998022,0.998022,,,1
11.25,0.998022,0.998022,,,1
11.35,0.998022,0.998022,,,1
11.45,0.998022,0.998022,,,1
11.55,0.998022,0.998022,,,1
11.65,0.998022,0.998022,,,1
11.75,0.998022,0.998022,,,1
11.85,0.998022,0.998022,,,1
11.95,0.998022,0.998022,,,1
12.05,0.998022,0.998022,,,1
12.15,0.998022,0.998022,,,1
12.25,0.998022,0.998022,,,1
12.35,0.998022,0.998022,,,1
12.45,0.998022,0.998022,,,1
12.55,0.998022,0.998022,,,1
12.65,0.998022,0.998022,,,1
12.75,0.998022,0.998022,,,1
12.85,0.998022,0.998022,,,1
12.95,0.998022,0.998022,,,1
13.05,0.998022,0.998022,,,1
13.15,0.998022,0.998022,,,1
13.25,0.9980720541666668,0.9980720541666668,,,1
13.35,0.9981520541666667,0.9981520541666667,,,1
13.45,0.9982320541666668,0.9982320541666668,,,1
13.55,0.998262,0.998262,,,1
13.65,0.998262,0.998262,,,1
13.75,0.998262,0.998262,,,1
13.85,0.998262,0.998262,,,1
13.95,0.998262,0.998262,,,1
14.05,0.998262,0.998262,,,1
14.15,0.998262,0.998262,,,1
14.25,0.998262,0.998262,,,1
14.35,0.998262,0.998262,,,1
14.45,0.998262,0.998262,,,1
14.55,0.998262,0.998262,,,1
14.65,0.998262,0.998262,,,1
14.75,0.998262,0.998262,,,1
14.85,0.998262,0.998262,,,1
14.95,0.998262,0.998262,,,1
15.05,0.998262,0.998262,,,1
15.15,0.998262,0.998262,,,1
15.25,0.998262,0.998262,,,1
15.35,0.998262,0.998262,,,1
15.45,0.998262,0.998262,,,1
15.55,0.998262,0.998262,,,1
15.65,0.998262,0.998262,,,1
15.75,0.998262,0.998262,,,1
15.85,0.998262,0.998262,,,1
15.95,0.998262,0.998262,,,1
16.05,0.998262,0.998262,,,1
16.150000000000002,0.998262,0.998262,,,1
16.25,0.998262,0.998262,,,1
16.35,0.998262,0.998262,,,1
16.45,0.998262,0.998262,,,1
16.55,0.998262,0.998262,,,1
16.650000000000002,0.998262,0.998262,,,1
16.75,0.998262,0.998262,,,1
16.85,0.998262,0.998262,,,1
16.95,0.998262,0.998262,,,1
17.05,0.998262,0.998262,,,1
17.150000000000002,0.998262,0.998262,,,1
17.25,0.998262,0.998262,,,1
17.35,0.998262,0.998262,,,1
17.45,0.998262,0.998262,,,1
17.55,0.998262,0.998262,,,1
17.650000000000002,0.998262,0.998262,,,1
17.75,0.998262,0.998262,,,1
17.85,0.998262,0.998262,,,1
17.95,0.998262,0.998262,,,1
18.05,0.998262,0.998262,,,1
18.15,0.998262,0.998262,,,1
18.25,0.998262,0.998262,,,1
18.35,0.998262,0.998262,,,1
18.45,0.998262,0.998262,,,1
18.55,0.998262,0.998262,,,1
18.65,0.998262,0.998262,,,1
18.75,0.998262,0.998262,,,1
18.85,0.998262,0.998262,,,1
18.95,0.998262,0.998262,,,1
19.05,0.998262,0.998262,,,1
19.15,0.998262,0.998262,,,1
19.25,0.998262,0.998262,,,1
19.35,0.998262,0.998262,,,1
19.450000000000003,0.998262,0.998262,,,1
19.55,0.998262,0.998262,,,1
19.65,0.998262,0.998262,,,1
19.75,0.998262,0.998262,,,1
19.85,0.998262,0.998262,,,1
19.950000000000003,0.9982873583333336,0.9982873583333336,,,1
20.05,0.9983133583333332,0.9983133583333332,,,1
20.15,0.9983393583333332,0.9983393583333332,,,1
20.25,0.99834,0.99834,,,1
20.35,0.99834,0.99834,,,1
20.450000000000003,0.99834,0.99834,,,1
20.55,0.99834,0.99834,,,1
20.65,0.99834,0.99834,,,1
20.75,0.99834,0.99834,,,1
20.85,0.99834,0.99834,,,1
20.950000000000003,0.99834,0.99834,,,1
21.05,0.99834,0.99834,,,1
21.15,0.99834,0.99834,,,1
21.25,0.99834,0.99834,,,1
21.35,0.99834,0.99834,,,1
21.450000000000003,0.99834,0.99834,,,1
21.55,0.99834,0.99834,,,1
21.65,0.99834,0.99834,,,1
21.75,0.99834,0.99834,,,1
21.85,0.99834,0.99834,,,1
21.950000000000003,0.99834,0.99834,,,1
22.05,0.99834,0.99834,,,1
22.15,0.99834,0.99834,,,1
22.25,0.99834,0.99834,,,1
22.35,0.99834,0.99834,,,1
22.450000000000003,0.99834,0.99834,,,1
22.55,0.99834,0.99834,,,1
22.65,0.99834,0.99834,,,1
22.75,0.99834,0.99834,,,1
22.85,0.99834,0.99834,,,1
22.950000000000003,0.99834,0.99834,,,1
23.05,0.99834,0.99834,,,1
23.15,0.99834,0.99834,,,1
23.25,0.99834,0.99834,,,1
23.35,0.99834,0.99834,,,1
23.450000000000003,0.99834,0.99834,,,1
23.55,0.99834,0.99834,,,1
23.65,0.99834,0.99834,,,1
23.75,0.99834,0.99834,,,1
23.85,0.99834,0.99834,,,1
23.950000000000003,0.99834,0.99834,,,1
24.05,0.99834,0.99834,,,1
24.15,0.99834,0.99834,,,1
24.25,0.99834,0.99834,,,1
24.35,0.99834,0.99834,,,1
24.450000000000003,0.99834,0.99834,,,1
24.55,0.99834,0.99834,,,1
24.65,0.99834,0.99834,,,1
24.75,0.99834,0.99834,,,1
24.85,0.99834,0.99834,,,1
24.950000000000003,0.99834,0.99834,,,1
25.05,0.99834,0.99834,,,1
25.15,0.99834,0.99834,,,1
25.25,0.99834,0.99834,,,1
25.35,0.99834,0.99834,,,1
25.450000000000003,0.99834,0.99834,,,1
25.55,0.99834,0.99834,,,1
25.65,0.99834,0.99834,,,1
25.75,0.99834,0.99834,,,1
25.85,0.99834,0.99834,,,1
25.950000000000003,0.99834,0.99834,,,1
26.05,0.99834,0.99834,,,1
26.15,0.99834,0.99834,,,1
26.25,0.99834,0.99834,,,1
26.35,0.99834,0.99834,,,1
26.450000000000003,0.99834,0.99834,,,1
26.55,0.99834,0.99834,,,1
26.65,0.99834,0.99834,,,1
26.75,0.99834,0.99834,,,1
26.85,0.99834,0.99834,,,1
26.950000000000003,0.99834,0.99834,,,1
27.05,0.99834,0.99834,,,1
27.15,0.99834,0.99834,,,1
27.25,0.99834,0.99834,,,1
27.35,0.99834,0.99834,,,1
27.450000000000003,0.99834,0.99834,,,1
27.55,0.99834,0.99834,,,1
27.65,0.99834,0.99834,,,1
27.75,0.99834,0.99834,,,1
27.85,0.99834,0.99834,,,1
27.950000000000003,0.99834,0.99834,,,1
28.05,0.99834,0.99834,,,1
28.15,0.99834,0.99834,,,1
28.25,0.99834,0.99834,,,1
28.35,0.99834,0.99834,,,1
28.450000000000003,0.99834,0.99834,,,1
28.55,0.99834,0.99834,,,1
28.65,0.99834,0.99834,,,1
28.75,0.99834,0.99834,,,1
28.85,0.99834,0.99834,,,1
28.950000000000003,0.99834,0.99834,,,1
29.05,0.99834,0.99834,,,1
29.15,0.99834,0.99834,,,1
29.25,0.99834,0.99834,,,1
29.35,0.99834,0.99834,,,1
29.450000000000003,0.99834,0.99834,,,1
29.55,0.99834,0.99834,,,1
29.65,0.99834,0.99834,,,1
29.75,0.99834,0.99834,,,1
29.85,0.99834,0.99834,,,1
29.950000000000003,0.99834,0.99834,,,1
30.05,0.99834,0.99834,,,1
30.15,0.99834,0.99834,,,1
30.25,0.99834,0.99834,,,1
30.35,0.99834,0.99834,,,1
