scheduler,time_s,mean,CI95_low,CI95_high,n
RR,0.45,11.323522903225808,,,1
RR,0.55,17.202898859928315,,,1
RR,0.65,28.553080271693023,,,1
RR,0.75,40.055365679798896,,,1
RR,0.8500000000000001,51.86012684020293,,,1
RR,0.95,63.682753080612144,,,1
RR,1.05,75.22569440368906,,,1
RR,1.15,86.62810244313437,,,1
RR,1.25,98.27322609444305,,,1
RR,1.35,109.83512069052148,,,1
RR,1.4500000000000002,120.43563102337052,,,1
RR,1.55,130.71892390507313,,,1
RR,1.65,141.95293366193587,,,1
RR,1.75,154.02810789661692,,,1
RR,1.85,166.33474282831483,,,1
RR,1.95,178.42538770769693,,,1
RR,2.0500000000000003,189.31003179212877,,,1
RR,2.15,200.38701917524563,,,1
RR,2.25,211.80877716958904,,,1
RR,2.35,224.00181314888889,,,1
RR,2.45,236.20952999352167,,,1
RR,2.5500000000000003,247.9371440811407,,,1
RR,2.6500000000000004,259.2817526048644,,,1
RR,2.75,270.5321011311994,,,1
RR,2.85,281.7511228743849,,,1
RR,2.95,293.5868300264782,,,1
RR,3.0500000000000003,305.096718773868,,,1
RR,3.1500000000000004,316.3960373723107,,,1
RR,3.25,328.00373098073914,,,1
RR,3.35,339.5619051052388,,,1
RR,3.45,351.1516526911549,,,1
RR,3.5500000000000003,363.0899204674458,,,1
RR,3.65,375.0580168743472,,,1
RR,3.75,387.0739838472064,,,1
RR,3.85,398.5853117326069,,,1
RR,3.95,410.0119701267081,,,1
RR,4.05,421.3709254146642,,,1
RR,4.15,432.66230510115,,,1
RR,4.25,444.30601254279753,,,1
RR,4.3500000000000005,456.4530058280308,,,1
RR,4.45,468.42377338258143,,,1
RR,4.55,480.3037930637408,,,1
RR,4.65,491.6852929054917,,,1
RR,4.75,502.9157584687102,,,1
RR,4.8500000000000005,513.8555075798213,,,1
RR,4.95,524.8388916528943,,,1
RR,5.050000000000001,535.779419505356,,,1
RR,5.15,547.1601015343416,,,1
RR,5.25,558.8334160246213,,,1
RR,5.3500000000000005,570.358858691288,,,1
RR,5.45,582.0098184461685,,,1
RR,5.550000000000001,593.2002976453431,,,1
RR,5.65,604.8130034566256,,,1
RR,5.75,616.5022708848807,,,1
RR,5.8500000000000005,628.1921611593905,,,1
RR,5.95,639.9357225454545,,,1
RR,6.050000000000001,651.9322206797386,,,1
RR,6.15,664.5430990994915,,,1
RR,6.25,676.9883040124046,,,1
RR,6.3500000000000005,690.8770399962028,,,1
RR,6.45,708.478873302477,,,1
RR,6.550000000000001,730.511504394793,,,1
RR,6.65,754.0462483284783,,,1
RR,6.75,778.425293562451,,,1
RR,6.8500000000000005,802.2038350212744,,,1
RR,6.95,826.3007200159715,,,1
RR,7.050000000000001,850.5679157739202,,,1
RR,7.15,875.5113150116223,,,1
RR,7.25,901.404681138524,,,1
RR,7.35,927.1736972616008,,,1
RR,7.45,952.888643732496,,,1
RR,7.550000000000001,977.8917225787544,,,1
RR,7.65,1001.685090860536,,,1
RR,7.75,1025.7935016984684,,,1
RR,7.85,1049.8719630947417,,,1
RR,7.95,1075.0108548394046,,,1
RR,8.05,1098.9718043399334,,,1
RR,8.15,1123.178095318752,,,1
RR,8.25,1147.1305138700852,,,1
RR,8.35,1170.876806261752,,,1
RR,8.450000000000001,1195.2101323074396,,,1
RR,8.55,1219.277536795069,,,1
RR,8.65,1244.7673104560774,,,1
RR,8.75,1269.9659010599623,,,1
RR,8.85,1294.4571905201965,,,1
RR,8.950000000000001,1318.5008251241252,,,1
RR,9.05,1341.827942725493,,,1
RR,9.15,1366.834476300625,,,1
RR,9.25,1391.6604762248642,,,1
RR,9.35,1416.106248562642,,,1
RR,9.45,1439.846583880102,,,1
RR,9.55,1463.2414984177776,,,1
RR,9.65,1487.755799625731,,,1
RR,9.75,1512.2554391613437,,,1
RR,9.85,1538.049615642825,,,1
RR,9.95,1562.2995170271952,,,1
RR,10.05,1587.608796010101,,,1
RR,10.15,1612.31841926936,,,1
RR,10.25,1638.4249874503705,,,1
RR,10.35,1663.762560263236,,,1
RR,10.45,1689.1834509006903,,,1
RR,10.55,1715.044050728383,,,1
RR,10.65,1739.7787787469344,,,1
RR,10.75,1764.3591566569842,,,1
RR,10.85,1789.4618484964185,,,1
RR,10.95,1814.925756182461,,,1
RR,11.05,1839.6314902328409,,,1
RR,11.15,1863.7819426743936,,,1
RR,11.25,1888.850420763771,,,1
RR,11.35,1915.234658804064,,,1
RR,11.45,1941.780028319088,,,1
RR,11.55,1967.7271243890184,,,1
RR,11.65,1993.9691524915825,,,1
RR,11.75,2018.1672802878784,,,1
RR,11.85,2043.699850367924,,,1
RR,11.95,2068.57123635374,,,1
RR,12.05,2095.56960776656,,,1
RR,12.15,2121.2327294114566,,,1
RR,12.25,2145.7706021634185,,,1
RR,12.35,2172.414119125598,,,1
RR,12.45,2204.6737207638885,,,1
RR,12.55,2243.704713488099,,,1
RR,12.65,2286.111219941142,,,1
RR,12.75,2329.165076820334,,,1
RR,12.85,2371.899487784575,,,1
RR,12.95,2415.255098745421,,,1
RR,13.05,2457.109889661064,,,1
RR,13.15,2499.4037443979555,,,1
RR,13.25,2540.937312549066,,,1
RR,13.35,2583.260148936454,,,1
RR,13.45,2626.365486917987,,,1
RR,13.55,2669.950450239892,,,1
RR,13.65,2713.471691277628,,,1
RR,13.75,2756.9568711551965,,,1
RR,13.85,2799.954872457807,,,1
RR,13.95,2843.0602684756277,,,1
RR,14.05,2885.8839740051294,,,1
RR,14.15,2929.2158552226647,,,1
RR,14.25,2972.6372040443016,,,1
RR,14.35,3015.1761936529147,,,1
RR,14.45,3057.2016314048774,,,1
RR,14.55,3100.283093541018,,,1
RR,14.65,3142.0131742251247,,,1
RR,14.75,3184.8698327466664,,,1
RR,14.85,3226.7701172108104,,,1
RR,14.95,3270.3717872182174,,,1
RR,15.05,3312.068551551551,,,1
RR,15.15,3354.8952934586887,,,1
RR,15.25,3396.619411051282,,,1
RR,15.35,3438.880835249825,,,1
RR,15.45,3480.4433474842567,,,1
RR,15.55,3523.7902854711847,,,1
RR,15.65,3566.598428670138,,,1
RR,15.75,3610.15481609871,,,1
RR,15.85,3652.653986006519,,,1
RR,15.95,3694.298392876996,,,1
RR,16.05,3736.784550927417,,,1
RR,16.150000000000002,3779.7605743394793,,,1
RR,16.25,3824.4745824216097,,,1
RR,16.35,3866.967680186315,,,1
RR,16.45,3908.752316546183,,,1
RR,16.55,3950.548207492375,,,1
RR,16.650000000000002,3992.232335670565,,,1
RR,16.75,4034.796745882687,,,1
RR,16.85,4076.109127316549,,,1
RR,16.95,4119.953291819473,,,1
RR,17.05,4161.201900580986,,,1
RR,17.150000000000002,4204.874074708606,,,1
RR,17.25,4246.586255466968,,,1
RR,17.35,4289.554701297477,,,1
RR,17.45,4331.937348120703,,,1
RR,17.55,4374.084549908032,,,1
RR,17.650000000000002,4416.880098176857,,,1
RR,17.75,4459.539246063755,,,1
RR,17.85,4501.989506067031,,,1
RR,17.95,4544.109261685671,,,1
RR,18.05,4586.154101313458,,,1
RR,18.15,4628.964661193234,,,1
RR,18.25,4671.799885583496,,,1
RR,18.35,4709.250993906327,,,1
RR,18.45,4737.160142651023,,,1
RR,18.55,4757.617245221481,,,1
RR,18.65,4773.040775787406,,,1
RR,18.75,4788.626693572841,,,1
RR,18.85,4803.685967391098,,,1
RR,18.95,4820.214102445087,,,1
RR,19.05,4836.590181595323,,,1
RR,19.15,4853.043109934021,,,1
RR,19.25,4868.691738963843,,,1
RR,19.35,4884.4185162141,,,1
RR,19.450000000000003,4900.049416045115,,,1
RR,19.55,4916.067459478168,,,1
RR,19.65,4932.113358884121,,,1
RR,19.75,4948.41604832811,,,1
RR,19.85,4964.410112171247,,,1
RR,19.950000000000003,4980.674137489187,,,1
RR,20.05,4996.174959512176,,,1
RR,20.15,5012.418978656455,,,1
RR,20.25,5028.08565436267,,,1
RR,20.35,5044.65109122271,,,1
RR,20.450000000000003,5060.004528652272,,,1
RR,20.55,5075.393974952271,,,1
RR,20.65,5090.235033154541,,,1
RR,20.75,5104.974550191091,,,1
RR,20.85,5119.913946803372,,,1
RR,20.950000000000003,5134.482821544892,,,1
RR,21.05,5150.127210968986,,,1
RR,21.15,5166.200854554358,,,1
RR,21.25,5182.074981837357,,,1
RR,21.35,5197.226014136207,,,1
RR,21.450000000000003,5211.563408505221,,,1
RR,21.55,5225.800828303896,,,1
