scheduler,time_s,mean,CI95_low,CI95_high,n
RR,0.45,8.999996906682725,,,1
RR,0.55,8.999997083392143,,,1
RR,0.65,8.999997711247511,,,1
RR,0.75,8.999997419768127,,,1
RR,0.8500000000000001,8.99999703846744,,,1
RR,0.95,8.999996490955816,,,1
RR,1.05,8.999997292919756,,,1
RR,1.15,8.999997915002588,,,1
RR,1.25,8.99999844862218,,,1
RR,1.35,8.99999861491905,,,1
RR,1.4500000000000002,8.99999813874208,,,1
RR,1.55,8.99999861456991,,,1
RR,1.65,8.999997062466498,,,1
RR,1.75,8.999996821540899,,,1
RR,1.85,8.999996461279268,,,1
RR,1.95,8.999997205720641,,,1
RR,2.0500000000000003,8.99999783499545,,,1
RR,2.15,8.999997282663353,,,1
RR,2.25,8.999997531567978,,,1
RR,2.35,8.999996898015866,,,1
RR,2.45,8.999997196995396,,,1
RR,2.5500000000000003,8.999996961600575,,,1
RR,2.6500000000000004,8.999997321434504,,,1
RR,2.75,8.999996962628346,,,1
RR,2.85,8.9999974174638,,,1
RR,2.95,8.999997930688139,,,1
RR,3.0500000000000003,8.999997893661074,,,1
RR,3.1500000000000004,8.999997556196432,,,1
RR,3.25,8.999997542304401,,,1
RR,3.35,8.999997461960659,,,1
RR,3.45,8.999996586638675,,,1
RR,3.5500000000000003,8.999996427510794,,,1
RR,3.65,8.999996507854538,,,1
RR,3.75,8.999997741982675,,,1
RR,3.85,8.999997901110557,,,1
RR,3.95,8.999998540753408,,,1
RR,4.05,8.999999154367602,,,1
RR,4.15,8.999998195103766,,,1
RR,4.25,8.999997555460917,,,1
RR,4.3500000000000005,8.99999631976389,,,1
RR,4.45,8.999997119899843,,,1
RR,4.55,8.999998129347262,,,1
RR,4.65,8.999999365044289,,,1
RR,4.75,8.99999936504429,,,1
RR,4.8500000000000005,8.99999857510683,,,1
RR,4.95,8.999997599946694,,,1
RR,5.050000000000001,8.999997759074576,,,1
RR,5.15,8.999997539564617,,,1
RR,5.25,8.999997035507024,,,1
RR,5.3500000000000005,8.999997035507024,,,1
RR,5.45,8.99999734351249,,,1
RR,5.550000000000001,8.999998360794422,,,1
RR,5.65,8.99999822300805,,,1
RR,5.75,8.999997821149039,,,1
RR,5.8500000000000005,8.99999717978387,,,1
RR,5.95,8.999997793398068,,,1
RR,6.050000000000001,8.999997048956697,,,1
RR,6.15,8.999998152257662,,,1
RR,6.25,8.999997177097526,,,1
RR,6.3500000000000005,8.999998283323473,,,1
RR,6.45,8.99999758188152,,,1
RR,6.550000000000001,8.999998261402729,,,1
RR,6.65,8.99999809032539,,,1
RR,6.75,8.999997937371006,,,1
RR,6.8500000000000005,8.999997937371006,,,1
RR,6.95,8.999997614267706,,,1
RR,7.050000000000001,8.999996493821175,,,1
RR,7.15,8.99999531024237,,,1
RR,7.25,8.9999956563139,,,1
RR,7.35,8.999996367257033,,,1
RR,7.45,8.999996582575026,,,1
RR,7.550000000000001,8.999996382409362,,,1
RR,7.65,8.99999727650453,,,1
RR,7.75,8.999998540404269,,,1
RR,7.85,8.999998620748011,,,1
RR,7.95,8.999998215407095,,,1
RR,8.05,8.999997631347044,,,1
RR,8.15,8.999997376894726,,,1
RR,8.25,8.999997362102752,,,1
RR,8.35,8.999997033569073,,,1
RR,8.450000000000001,8.999997061771785,,,1
RR,8.55,8.999996372491513,,,1
RR,8.65,8.999997285085243,,,1
RR,8.75,8.99999773084481,,,1
RR,8.85,8.999998626002489,,,1
RR,8.950000000000001,8.999997295285725,,,1
RR,9.05,8.999997230826848,,,1
RR,9.15,8.999997814886898,,,1
RR,9.25,8.999998510647954,,,1
RR,9.35,8.999998510647954,,,1
RR,9.45,8.999998510647954,,,1
RR,9.55,8.999999145603661,,,1
RR,9.65,8.999998520782269,,,1
RR,9.75,8.999996545939398,,,1
RR,9.85,8.999995456148234,,,1
RR,9.95,8.999995832064998,,,1
RR,10.05,8.999995720980165,,,1
RR,10.15,8.999996810771329,,,1
RR,10.25,8.999997059675954,,,1
RR,10.35,8.99999766638593,,,1
RR,10.45,8.99999692486954,,,1
RR,10.55,8.999996515366142,,,1
RR,10.65,8.999997359628162,,,1
RR,10.75,8.999997091697134,,,1
RR,10.85,8.999997720641161,,,1
RR,10.95,8.999997265805709,,,1
RR,11.05,8.999996572454782,,,1
RR,11.15,8.999995876693726,,,1
RR,11.25,8.99999499164202,,,1
RR,11.35,8.999993534693019,,,1
RR,11.45,8.999994865409782,,,1
RR,11.55,8.999994909476497,,,1
RR,11.65,8.999996738507077,,,1
RR,11.75,8.99999582591335,,,1
RR,11.85,8.999996425972745,,,1
RR,11.95,8.999995339317694,,,1
RR,12.05,8.999994988011684,,,1
RR,12.15,8.999995528790986,,,1
RR,12.25,8.999997091766462,,,1
RR,12.35,8.999997443072472,,,1
RR,12.45,8.999997378613594,,,1
RR,12.55,8.999996753792203,,,1
RR,12.65,8.999997666385932,,,1
RR,12.75,8.999997417481303,,,1
RR,12.85,8.99999746160737,,,1
RR,12.95,8.999996126613302,,,1
RR,13.05,8.999996254754134,,,1
RR,13.15,8.999995272473983,,,1
RR,13.25,8.99999575307171,,,1
RR,13.35,8.9999950254335,,,1
RR,13.45,8.999996112088551,,,1
RR,13.55,8.999996076859391,,,1
RR,13.65,8.999996448940975,,,1
RR,13.75,8.99999644466367,,,1
RR,13.85,8.999996361868817,,,1
RR,13.95,8.999995606657874,,,1
RR,14.05,8.999996306696232,,,1
RR,14.15,8.999996015216846,,,1
RR,14.25,8.999996621926822,,,1
RR,14.35,8.999996401254089,,,1
RR,14.45,8.999996775528325,,,1
RR,14.55,8.999997400349718,,,1
RR,14.65,8.999996920984096,,,1
RR,14.75,8.999997810609594,,,1
RR,14.85,8.999997689845799,,,1
RR,14.95,8.999999024839864,,,1
RR,15.05,8.999996938912158,,,1
RR,15.15,8.999996650172555,,,1
RR,15.25,8.999996650172555,,,1
RR,15.35,8.999997301008598,,,1
RR,15.45,8.99999686210999,,,1
RR,15.55,8.999996400174192,,,1
RR,15.65,8.999997093749466,,,1
RR,15.75,8.999998796547812,,,1
RR,15.85,8.999997779265879,,,1
RR,15.95,8.999998058846472,,,1
RR,16.05,8.999996211104135,,,1
RR,16.150000000000002,8.999997214494039,,,1
RR,16.25,8.999996345713074,,,1
RR,16.35,8.999997731519612,,,1
RR,16.45,8.999998207347438,,,1
RR,16.55,8.999999538064202,,,1
RR,16.650000000000002,8.99999852078227,,,1
RR,16.75,8.999997417481303,,,1
RR,16.85,8.999995714682958,,,1
RR,16.95,8.999996824096117,,,1
RR,17.05,8.999997313782888,,,1
RR,17.150000000000002,8.999998162184893,,,1
RR,17.25,8.999997677593123,,,1
RR,17.35,8.999997677593123,,,1
RR,17.45,8.999997559569112,,,1
RR,17.55,8.999997938137623,,,1
RR,17.650000000000002,8.999998075923992,,,1
RR,17.75,8.999999048344344,,,1
RR,17.85,8.99999866854373,,,1
RR,17.95,8.999998254746059,,,1
RR,18.05,8.99999777891823,,,1
RR,18.15,8.99999793310472,,,1
RR,18.25,8.999998452925649,,,1
RR,18.35,8.999998928753476,,,1
RR,18.45,8.999998774566986,,,1
RR,18.55,8.999998171951203,,,1
RR,18.65,8.999997317554863,,,1
RR,18.75,8.999996738091642,,,1
RR,18.85,8.999995862769659,,,1
RR,18.95,8.999995282074332,,,1
RR,19.05,8.999996015724044,,,1
RR,19.15,8.999997387638555,,,1
RR,19.25,8.999997732939056,,,1
RR,19.35,8.999997461960655,,,1
RR,19.450000000000003,8.999997324174286,,,1
RR,19.55,8.999997952029652,,,1
RR,19.65,8.999997915002586,,,1
RR,19.75,8.999997893661073,,,1
RR,19.85,8.99999835559687,,,1
RR,19.950000000000003,8.999998751430093,,,1
RR,20.05,8.999998751430093,,,1
RR,20.15,8.999998275602266,,,1
RR,20.25,8.999997785915498,,,1
RR,20.35,8.99999795893541,,,1
RR,20.450000000000003,8.999997579134794,,,1
RR,20.55,8.999998098375707,,,1
RR,20.65,8.999998190506936,,,1
RR,20.75,8.99999868587375,,,1
RR,20.85,8.99999890012923,,,1
RR,20.950000000000003,8.999997934939733,,,1
RR,21.05,8.999997660245654,,,1
RR,21.15,8.999997288533834,,,1
RR,21.25,8.999997848382412,,,1
RR,21.35,8.999997802218553,,,1
RR,21.450000000000003,8.999997959674893,,,1
