scheduler,time_s,mean,CI95_low,CI95_high,n
RR,0.45,11.120772106773323,,,1
RR,0.55,11.120347022964188,,,1
RR,0.65,11.118365098118778,,,1
RR,0.75,11.116570382386143,,,1
RR,0.8500000000000001,11.115045701616175,,,1
RR,0.95,11.116051025813126,,,1
RR,1.05,11.11441466735102,,,1
RR,1.15,11.113736313618618,,,1
RR,1.25,11.116389169111455,,,1
RR,1.35,11.119163863895032,,,1
RR,1.4500000000000002,11.121067407531868,,,1
RR,1.55,11.116895395474751,,,1
RR,1.65,11.115662197793164,,,1
RR,1.75,11.117781236936054,,,1
RR,1.85,11.118235010974734,,,1
RR,1.95,11.119356099776178,,,1
RR,2.0500000000000003,11.115698580159682,,,1
RR,2.15,11.116336699901574,,,1
RR,2.25,11.113859093650383,,,1
RR,2.35,11.114648846960169,,,1
RR,2.45,11.1141491667555,,,1
RR,2.5500000000000003,11.115946111948668,,,1
RR,2.6500000000000004,11.116087763033718,,,1
RR,2.75,11.119440456019882,,,1
RR,2.85,11.121764092045538,,,1
RR,2.95,11.120389243278902,,,1
RR,3.0500000000000003,11.117963493281108,,,1
RR,3.1500000000000004,11.117089006604786,,,1
RR,3.25,11.120747186294572,,,1
RR,3.35,11.121723786943033,,,1
RR,3.45,11.119834209850277,,,1
RR,3.5500000000000003,11.120481591031554,,,1
RR,3.65,11.119504990383092,,,1
RR,3.75,11.118041874489682,,,1
RR,3.85,11.117394493308405,,,1
RR,3.95,11.119553294741849,,,1
RR,4.05,11.118961081165947,,,1
RR,4.15,11.11765305279558,,,1
RR,4.25,11.115494251362136,,,1
RR,4.3500000000000005,11.116764818670438,,,1
RR,4.45,11.118720228222085,,,1
RR,4.55,11.117201071657805,,,1
RR,4.65,11.1159305043495,,,1
RR,4.75,11.1159305043495,,,1
RR,4.8500000000000005,11.1172743736179,,,1
RR,4.95,11.119163054751866,,,1
RR,5.050000000000001,11.11851567357059,,,1
RR,5.15,11.118690960866466,,,1
RR,5.25,11.120480237730222,,,1
RR,5.3500000000000005,11.120480237730222,,,1
RR,5.45,11.119918357905078,,,1
RR,5.550000000000001,11.116754232274689,,,1
RR,5.65,11.113174433793477,,,1
RR,5.75,11.1153935753251,,,1
RR,5.8500000000000005,11.11805616122853,,,1
RR,5.95,11.117463947652626,,,1
RR,6.050000000000001,11.116342858851183,,,1
RR,6.15,11.113166440580423,,,1
RR,6.25,11.115055121714391,,,1
RR,6.3500000000000005,11.116444640228854,,,1
RR,6.45,11.117401916967989,,,1
RR,6.550000000000001,11.118801762984925,,,1
RR,6.65,11.11644880878172,,,1
RR,6.75,11.118286780120854,,,1
RR,6.8500000000000005,11.118286780120854,,,1
RR,6.95,11.118465453648582,,,1
RR,7.050000000000001,11.11902987874131,,,1
RR,7.15,11.11941930958813,,,1
RR,7.25,11.123853330194656,,,1
RR,7.35,11.122643847853098,,,1
RR,7.45,11.121116080684814,,,1
RR,7.550000000000001,11.11790724998272,,,1
RR,7.65,11.119435017151003,,,1
RR,7.75,11.117284826321567,,,1
RR,7.85,11.116308225673109,,,1
RR,7.95,11.114314152059883,,,1
RR,8.05,11.117371454645491,,,1
RR,8.15,11.11800248891065,,,1
RR,8.25,11.117662473794548,,,1
RR,8.35,11.11569706498952,,,1
RR,8.450000000000001,11.114817441468384,,,1
RR,8.55,11.117151530197708,,,1
RR,8.65,11.116059636417134,,,1
RR,8.75,11.116132938377229,,,1
RR,8.85,11.115512282965112,,,1
RR,8.950000000000001,11.120127079320744,,,1
RR,9.05,11.121578458130612,,,1
RR,9.15,11.118521155545006,,,1
RR,9.25,11.115111207498977,,,1
RR,9.35,11.115111207498977,,,1
RR,9.45,11.115111207498977,,,1
RR,9.55,11.113906359189375,,,1
RR,9.65,11.114789069108832,,,1
RR,9.75,11.118148742279825,,,1
RR,9.85,11.120644499492563,,,1
RR,9.95,11.120142959765602,,,1
RR,10.05,11.1211508617169,,,1
RR,10.15,11.11865510450416,,,1
RR,10.25,11.116177498252972,,,1
RR,10.35,11.1154878811284,,,1
RR,10.45,11.11893272911218,,,1
RR,10.55,11.120384107922048,,,1
RR,10.65,11.121525543162718,,,1
RR,10.75,11.119599851743216,,,1
RR,10.85,11.12226905415217,,,1
RR,10.95,11.119945418126518,,,1
RR,11.05,11.120922018774978,,,1
RR,11.15,11.120717421892218,,,1
RR,11.25,11.121581337850472,,,1
RR,11.35,11.124461057711324,,,1
RR,11.45,11.119846261355695,,,1
RR,11.55,11.122045320158527,,,1
RR,11.65,11.121284639440566,,,1
RR,11.75,11.12237653322114,,,1
RR,11.85,11.121432597602942,,,1
RR,11.95,11.119791469415684,,,1
RR,12.05,11.120849766464543,,,1
RR,12.15,11.117578839377314,,,1
RR,12.25,11.117400419287211,,,1
RR,12.35,11.11634212223835,,,1
RR,12.45,11.11779350104822,,,1
RR,12.55,11.11867621096767,,,1
RR,12.65,11.117584317187095,,,1
RR,12.75,11.117965487379587,,,1
RR,12.85,11.117151513068618,,,1
RR,12.95,11.118898543117531,,,1
RR,13.05,11.11761080598074,,,1
RR,13.15,11.11772049046236,,,1
RR,13.25,11.118768708491713,,,1
RR,13.35,11.119375784570488,,,1
RR,13.45,11.121016912757746,,,1
RR,13.55,11.123926252594307,,,1
RR,13.65,11.1260452917372,,,1
RR,13.75,11.123177525430489,,,1
RR,13.85,11.121417844077726,,,1
RR,13.95,11.12117062284439,,,1
RR,14.05,11.124242986033863,,,1
RR,14.15,11.122448270301229,,,1
RR,14.25,11.12175865317666,,,1
RR,14.35,11.119150690379934,,,1
RR,14.45,11.122705087465327,,,1
RR,14.55,11.121822377545875,,,1
RR,14.65,11.121357977153126,,,1
RR,14.75,11.115653389238297,,,1
RR,14.85,11.11474682229399,,,1
RR,14.95,11.112999792245075,,,1
RR,15.05,11.117367367367368,,,1
RR,15.15,11.11762887706284,,,1
RR,15.25,11.11762887706284,,,1
RR,15.35,11.116125285627296,,,1
RR,15.45,11.1164708520106,,,1
RR,15.55,11.116984684377924,,,1
RR,15.65,11.11756554867496,,,1
RR,15.75,11.11506979146222,,,1
RR,15.85,11.11823391709261,,,1
RR,15.95,11.11530290147616,,,1
RR,16.05,11.117358230945475,,,1
RR,16.150000000000002,11.117852285004869,,,1
RR,16.25,11.12195324899317,,,1
RR,16.35,11.120411751891185,,,1
RR,16.45,11.11623973983407,,,1
RR,16.55,11.11162494347844,,,1
RR,16.650000000000002,11.11478906910883,,,1
RR,16.75,11.117965487379587,,,1
RR,16.85,11.12046124459233,,,1
RR,16.95,11.12046124459233,,,1
RR,17.05,11.117877039897474,,,1
RR,17.150000000000002,11.1160800947043,,,1
RR,17.25,11.11519738478485,,,1
RR,17.35,11.11519738478485,,,1
RR,17.45,11.118443479327352,,,1
RR,17.55,11.1198202433062,,,1
RR,17.650000000000002,11.123400041787413,,,1
RR,17.75,11.119455135225342,,,1
RR,17.85,11.117494553609896,,,1
RR,17.95,11.11902712946761,,,1
RR,18.05,11.123199141524722,,,1
RR,18.15,11.12194498782219,,,1
RR,18.25,11.119918357905078,,,1
RR,18.35,11.115746345847962,,,1
RR,18.45,11.1170004995505,,,1
RR,18.55,11.11726744811485,,,1
RR,18.65,11.120062696193116,,,1
RR,18.75,11.120715249438195,,,1
RR,18.85,11.118825672345444,,,1
RR,18.95,11.118894407953922,,,1
RR,19.05,11.116987701006307,,,1
RR,19.15,11.119104383594106,,,1
RR,19.25,11.118736157120097,,,1
RR,19.35,11.121723786943036,,,1
RR,19.450000000000003,11.118143988461824,,,1
RR,19.55,11.116162063616414,,,1
RR,19.65,11.113736313618618,,,1
RR,19.75,11.117963493281104,,,1
RR,19.85,11.117449660913778,,,1
RR,19.950000000000003,11.116522717925406,,,1
RR,20.05,11.116522717925406,,,1
RR,20.15,11.120694729982525,,,1
RR,20.25,11.123278934677376,,,1
RR,20.35,11.118973373806313,,,1
RR,20.450000000000003,11.117012792190865,,,1
RR,20.55,11.116893676505711,,,1
RR,20.65,11.120057802136104,,,1
RR,20.75,11.118300145733116,,,1
RR,20.85,11.118920801145231,,,1
RR,20.950000000000003,11.116989873196426,,,1
RR,21.05,11.12135549239614,,,1
RR,21.15,11.1211223823822,,,1
RR,21.25,11.121059236717782,,,1
RR,21.35,11.118735600692128,,,1
RR,21.450000000000003,11.118348055293952,,,1
RR,21.55,11.117117944948134,,,1
RR,21.65,11.118300145733116,,,1
RR,21.75,11.118920801145231,,,1
RR,21.85,11.119424303845683,,,1
RR,21.950000000000003,11.119106019018956,,,1
RR,22.05,11.120247454259632,,,1
RR,22.15,11.119804009887824,,,1
RR,22.25,11.121263729955224,,,1
RR,22.35,11.116444336716832,,,1
RR,22.450000000000003,11.11814193479117,,,1
RR,22.55,11.113322541552778,,,1
RR,22.65,11.115211222686744,,,1
RR,22.75,11.116444640228854,,,1
RR,22.85,11.117296850008817,,,1
RR,22.950000000000003,11.11626037865481,,,1
RR,23.05,11.11649348866875,,,1
RR,23.15,11.115641278888791,,,1
RR,23.25,11.115746345847962,,,1
RR,23.35,11.116887781088636,,,1
RR,23.450000000000003,11.116887781088636,,,1
RR,23.55,11.1159305043495,,,1
RR,23.65,11.113166440580429,,,1
RR,23.75,11.116844398578143,,,1
RR,23.85,11.119340155790884,,,1
RR,23.950000000000003,11.118555393629874,,,1
RR,24.05,11.115469649208055,,,1
RR,24.15,11.117793285233711,,,1
RR,24.25,11.119967565909183,,,1
RR,24.35,11.123547364390395,,,1
RR,24.450000000000003,11.121904389422763,,,1
RR,24.55,11.12163595970974,,,1
RR,24.65,11.118421224391758,,,1
RR,24.75,11.116763962685276,,,1
RR,24.85,11.115476225548484,,,1
RR,24.950000000000003,11.114518948809351,,,1
RR,25.05,11.11369860426464,,,1
RR,25.15,11.114783591299046,,,1
RR,25.25,11.118728497861118,,,1
RR,25.35,11.118986962580683,,,1
RR,25.450000000000003,11.11776032446123,,,1
RR,25.55,11.114907311679737,,,1
RR,25.65,11.114907311679737,,,1
RR,25.75,11.120148401826484,,,1
RR,25.85,11.124615240019736,,,1
RR,25.950000000000003,11.124250176856508,,,1
RR,26.05,11.121876853016468,,,1
RR,26.15,11.117016933062212,,,1
RR,26.25,11.119869567470088,,,1
RR,26.35,11.116346664895032,,,1
RR,26.450000000000003,11.118143610088202,,,1
RR,26.55,11.11749401018269,,,1
RR,26.65,11.11735939314125,,,1
RR,26.75,11.118541593926231,,,1
RR,26.85,11.116838239628535,,,1
RR,26.950000000000003,11.118854631057772,,,1
RR,27.05,11.116695829624328,,,1
RR,27.15,11.11749261697772,,,1
RR,27.25,11.115476225548484,,,1
RR,27.35,11.118776462222598,,,1
RR,27.450000000000003,11.119751764775383,,,1
RR,27.55,11.120313644600529,,,1
RR,27.65,11.119172209359856,,,1
RR,27.75,11.120480237730222,,,1
RR,27.85,11.121756329244215,,,1
RR,27.950000000000003,11.121135673832098,,,1
RR,28.05,11.120020964360586,,,1
RR,28.15,11.122045109520712,,,1
RR,28.25,11.118987806935108,,,1
RR,28.35,11.118426261562242,,,1
RR,28.450000000000003,11.11610262553659,,,1
RR,28.55,11.118598382749326,,,1
RR,28.65,11.121661357510414,,,1
RR,28.75,11.119864412317243,,,1
RR,28.85,11.117368655104505,,,1
RR,28.950000000000003,11.112901816911252,,,1
RR,29.05,11.114258334360995,,,1
RR,29.15,11.118873130716628,,,1
RR,29.25,11.121459194933776,,,1
RR,29.35,11.123771440586752,,,1
RR,29.450000000000003,11.123524219353415,,,1
RR,29.55,11.120438474931598,,,1
RR,29.65,11.118566657022043,,,1
RR,29.75,11.114199081899756,,,1
RR,29.85,11.114950737592247,,,1
RR,29.950000000000003,11.112454980379509,,,1
RR,30.05,11.1172743736179,,,1
RR,30.15,11.120545300705132,,,1
RR,30.25,11.122695491534566,,,1
RR,30.35,11.121258591888708,,,1
PF,0.45,12.38771735109138,,,1
PF,0.55,12.800314075156374,,,1
PF,0.65,13.308857770053132,,,1
PF,0.75,13.392098613560348,,,1
PF,0.8500000000000001,12.910046533329847,,,1
PF,0.95,13.660093668804071,,,1
PF,1.05,13.721792578126577,,,1
PF,1.15,14.22533071548918,,,1
PF,1.25,13.155368613869683,,,1
PF,1.35,13.770818551507348,,,1
PF,1.4500000000000002,14.610584131838964,,,1
PF,1.55,14.275803860709525,,,1
PF,1.65,14.351125813389968,,,1
PF,1.75,13.76414443272524,,,1
PF,1.85,15.04542080834124,,,1
PF,1.95,14.696286076515776,,,1
PF,2.0500000000000003,14.248139063561544,,,1
PF,2.15,14.16346138155881,,,1
PF,2.25,13.871236424854771,,,1
PF,2.35,13.710607637030146,,,1
PF,2.45,13.317701489617754,,,1
PF,2.5500000000000003,14.72837833897385,,,1
PF,2.6500000000000004,15.4867853928392,,,1
PF,2.75,15.179110376331522,,,1
PF,2.85,15.561585169183674,,,1
PF,2.95,14.501168232957108,,,1
PF,3.0500000000000003,14.147754430773304,,,1
PF,3.1500000000000004,12.203659392338642,,,1
PF,3.25,12.493864811514683,,,1
PF,3.35,13.271259586550968,,,1
PF,3.45,13.108935537434467,,,1
PF,3.5500000000000003,13.863216186329398,,,1
PF,3.65,13.69750119129464,,,1
PF,3.75,14.038920777997246,,,1
PF,3.85,13.575159892656169,,,1
PF,3.95,13.450220293604325,,,1
PF,4.05,12.962798909956524,,,1
PF,4.15,13.445306771591746,,,1
PF,4.25,12.986637831964734,,,1
PF,4.3500000000000005,13.424895602743172,,,1
PF,4.45,13.044832033391716,,,1
PF,4.55,13.810737291966175,,,1
PF,4.65,13.5810715439625,,,1
PF,4.75,13.627015616458609,,,1
PF,4.8500000000000005,13.449068789194932,,,1
PF,4.95,13.40920463492606,,,1
PF,5.050000000000001,13.3079733190721,,,1
PF,5.15,12.78870223376328,,,1
PF,5.25,12.978852908098192,,,1
PF,5.3500000000000005,13.481464377690797,,,1
PF,5.45,14.61499705702934,,,1
PF,5.550000000000001,14.49083026370802,,,1
PF,5.65,13.737180912050285,,,1
PF,5.75,13.97250968395427,,,1
PF,5.8500000000000005,14.19077786854679,,,1
PF,5.95,14.869304928101103,,,1
PF,6.050000000000001,13.58408000918986,,,1
PF,6.15,14.382021261869292,,,1
PF,6.25,16.153982288779286,,,1
PF,6.3500000000000005,15.938439320836176,,,1
PF,6.45,15.384536328114814,,,1
PF,6.550000000000001,13.380230828976286,,,1
PF,6.65,14.079947311195092,,,1
PF,6.75,13.696572752213651,,,1
PF,6.8500000000000005,13.462661781771653,,,1
PF,6.95,13.229218626135332,,,1
PF,7.050000000000001,14.610290129158054,,,1
PF,7.15,14.044681070594615,,,1
PF,7.25,13.888591876769572,,,1
PF,7.35,13.089757587369244,,,1
PF,7.45,14.700359389038637,,,1
PF,7.550000000000001,15.251335886887029,,,1
PF,7.65,14.68968115757049,,,1
PF,7.75,14.889245743927532,,,1
PF,7.85,14.437750128578886,,,1
PF,7.95,14.516876188528286,,,1
PF,8.05,13.290461094188665,,,1
PF,8.15,14.00387329344992,,,1
PF,8.25,14.338727012180565,,,1
PF,8.35,15.27444443210158,,,1
PF,8.450000000000001,14.222694363739537,,,1
PF,8.55,13.640256659735073,,,1
PF,8.65,12.41530419520385,,,1
PF,8.75,13.72686709981656,,,1
PF,8.85,15.246618354144871,,,1
PF,8.950000000000001,16.424477353416773,,,1
PF,9.05,15.550583454971838,,,1
PF,9.15,14.783190691209562,,,1
PF,9.25,13.988744263617832,,,1
PF,9.35,14.782894208711175,,,1
PF,9.45,16.837502336432507,,,1
PF,9.55,16.35761939745169,,,1
PF,9.65,15.40367771802502,,,1
PF,9.75,12.653314873322552,,,1
PF,9.85,14.113955091185248,,,1
PF,9.95,13.956224114127934,,,1
PF,10.05,14.239242982052462,,,1
PF,10.15,14.17100064505725,,,1
PF,10.25,14.70906020850527,,,1
PF,10.35,14.34908006947846,,,1
PF,10.45,13.4419683133101,,,1
PF,10.55,12.85432972774806,,,1
PF,10.65,13.7410394265233,,,1
PF,10.75,13.723023179143844,,,1
PF,10.85,13.939576497128796,,,1
PF,10.95,13.734799617823615,,,1
PF,11.05,13.148173026321851,,,1
PF,11.15,13.235129548060982,,,1
PF,11.25,12.592484421014584,,,1
PF,11.35,12.87039546989625,,,1
PF,11.45,12.61457581785018,,,1
PF,11.55,12.83801092152394,,,1
PF,11.65,12.4916763979408,,,1
PF,11.75,13.232916290124086,,,1
PF,11.85,12.971486526135235,,,1
PF,11.95,14.344953068420052,,,1
PF,12.05,13.419281255955786,,,1
PF,12.15,14.366059517002917,,,1
PF,12.25,13.400521786759304,,,1
PF,12.35,13.569530217108564,,,1
PF,12.45,13.70385959672096,,,1
PF,12.55,14.56224389785209,,,1
PF,12.65,16.187784733750213,,,1
PF,12.75,15.344415965853145,,,1
PF,12.85,15.511766394877304,,,1
PF,12.95,14.253380650642503,,,1
PF,13.05,14.510597228613795,,,1
PF,13.15,13.695492662473796,,,1
PF,13.25,14.692755648730492,,,1
PF,13.35,14.514302920806989,,,1
PF,13.45,13.880321598146418,,,1
PF,13.55,13.99309935952016,,,1
PF,13.65,14.88297310649389,,,1
PF,13.75,16.82694108819772,,,1
PF,13.85,15.661041353476916,,,1
PF,13.95,14.517169454411093,,,1
PF,14.05,13.709243898234527,,,1
PF,14.15,14.895099993688952,,,1
PF,14.25,16.453337037226564,,,1
PF,14.35,16.354404099624983,,,1
PF,14.45,16.167292721882504,,,1
PF,14.55,15.780097108271796,,,1
PF,14.65,14.90736726585783,,,1
PF,14.75,14.282520414595888,,,1
PF,14.85,13.399046030216878,,,1
PF,14.95,14.744665453940735,,,1
PF,15.05,15.159608446575184,,,1
PF,15.15,16.083032399205646,,,1
PF,15.25,15.65948951316434,,,1
PF,15.35,16.12060267960492,,,1
PF,15.45,15.100972414691634,,,1
PF,15.55,14.25911664456139,,,1
PF,15.65,13.211533898865438,,,1
PF,15.75,14.126104129473404,,,1
PF,15.85,14.379800239312011,,,1
PF,15.95,14.316621279906636,,,1
PF,16.05,15.16904715591742,,,1
PF,16.150000000000002,14.730308475591498,,,1
PF,16.25,14.454465869560211,,,1
PF,16.35,12.831114455852406,,,1
PF,16.45,13.737074324076424,,,1
PF,16.55,13.900485336544042,,,1
PF,16.650000000000002,13.693709330501788,,,1
PF,16.75,13.868128726619297,,,1
PF,16.85,14.287432539848558,,,1
PF,16.95,15.146382014736464,,,1
PF,17.05,14.900384301757615,,,1
PF,17.150000000000002,13.938698342372629,,,1
PF,17.25,14.177810939171556,,,1
PF,17.35,14.051284857040594,,,1
PF,17.45,15.181664273041353,,,1
PF,17.55,14.84259873637969,,,1
PF,17.650000000000002,14.614779478316258,,,1
PF,17.75,13.989318623837836,,,1
PF,17.85,14.1683945733811,,,1
PF,17.95,14.301760023832506,,,1
PF,18.05,14.618244222916283,,,1
PF,18.15,14.311759752011326,,,1
PF,18.25,13.615184268497552,,,1
PF,18.35,13.477363009083,,,1
PF,18.45,13.431824166374346,,,1
PF,18.55,13.41831768459051,,,1
PF,18.65,12.987383605857689,,,1
PF,18.75,13.367243525811949,,,1
PF,18.85,13.67603383072307,,,1
PF,18.95,14.181328675640556,,,1
PF,19.05,14.153409791589596,,,1
PF,19.15,14.976230548911923,,,1
PF,19.25,14.4359951030161,,,1
PF,19.35,14.600239299253737,,,1
PF,19.450000000000003,15.399690092060894,,,1
PF,19.55,15.80556986389064,,,1
PF,19.65,14.520411383878743,,,1
PF,19.75,13.842813300620286,,,1
PF,19.85,13.564816128371248,,,1
PF,19.950000000000003,14.038587848932684,,,1
PF,20.05,13.143858888165983,,,1
