scheduler,ue,time_s,mean,CI95_low,CI95_high,n
IA-FMR,1,0.45,11.339374379344587,,,1
IA-FMR,1,0.55,11.28938150247843,,,1
IA-FMR,1,0.65,11.234363403365768,,,1
IA-FMR,1,0.75,11.174274471746974,,,1
IA-FMR,1,0.8500000000000001,11.157971862873184,,,1
IA-FMR,1,0.95,11.146496815286625,,,1
IA-FMR,1,1.05,11.162520530384969,,,1
IA-FMR,1,1.15,11.173918043866214,,,1
IA-FMR,1,1.25,11.176250609988124,,,1
IA-FMR,1,1.35,11.151778493820297,,,1
IA-FMR,1,1.4500000000000002,11.154401731050108,,,1
IA-FMR,1,1.55,11.151722498015012,,,1
IA-FMR,1,1.65,11.174191649795544,,,1
IA-FMR,1,1.75,11.15458034658578,,,1
IA-FMR,1,1.85,11.152564542683184,,,1
IA-FMR,1,1.95,11.140546756359427,,,1
IA-FMR,1,2.0500000000000003,11.146137308858137,,,1
IA-FMR,1,2.15,11.148499779673918,,,1
IA-FMR,1,2.25,11.154508672835798,,,1
IA-FMR,1,2.35,11.160170899084491,,,1
IA-FMR,1,2.45,11.171919055586883,,,1
IA-FMR,1,2.5500000000000003,11.165910162425003,,,1
IA-FMR,1,2.6500000000000004,11.16625682933819,,,1
IA-FMR,1,2.75,11.15651163722309,,,1
IA-FMR,1,2.85,11.16590618631704,,,1
IA-FMR,1,2.95,11.17191507947892,,,1
IA-FMR,1,3.0500000000000003,11.165533840373248,,,1
IA-FMR,1,3.1500000000000004,11.14698108304306,,,1
IA-FMR,1,3.25,11.1544760465568,,,1
IA-FMR,1,3.35,11.16657086997238,,,1
IA-FMR,1,3.45,11.185743900145084,,,1
IA-FMR,1,3.5500000000000003,11.168234114694876,,,1
IA-FMR,1,3.65,11.148918120337086,,,1
IA-FMR,1,3.75,11.142562560262022,,,1
IA-FMR,1,3.85,11.140559595874729,,,1
IA-FMR,1,3.95,11.158167934697198,,,1
IA-FMR,1,4.05,11.165932031018812,,,1
IA-FMR,1,4.15,11.174273490302602,,,1
IA-FMR,1,4.25,11.165902126324944,,,1
IA-FMR,1,4.3500000000000005,11.140458017430872,,,1
IA-FMR,1,4.45,11.152146202020017,,,1
IA-FMR,1,4.55,11.162225221532998,,,1
IA-FMR,1,4.65,11.174243007856754,,,1
IA-FMR,1,4.75,11.173986217550691,,,1
IA-FMR,1,4.8500000000000005,11.165923001940309,,,1
IA-FMR,1,4.95,11.166303311634096,,,1
IA-FMR,1,5.050000000000001,11.160255899926309,,,1
IA-FMR,1,5.15,11.154593673677615,,,1
IA-FMR,1,5.25,11.165923001940309,,,1
IA-FMR,1,5.3500000000000005,11.158206453243109,,,1
IA-FMR,1,5.45,11.17222720395416,,,1
IA-FMR,1,5.550000000000001,11.16785746130079,,,1
IA-FMR,1,5.65,11.156671094156662,,,1
IA-FMR,1,5.75,11.154047856926852,,,1
IA-FMR,1,5.8500000000000005,11.158725747947498,,,1
IA-FMR,1,5.95,11.160302956828536,,,1
IA-FMR,1,6.050000000000001,11.16638938409573,,,1
IA-FMR,1,6.15,11.13732750458953,,,1
IA-FMR,1,6.25,11.164498137706374,,,1
IA-FMR,1,6.3500000000000005,11.20317231096667,,,1
IA-FMR,1,6.45,11.280305335767904,,,1
IA-FMR,1,6.550000000000001,11.316823899371068,,,1
IA-FMR,1,6.65,11.320754716981131,,,1
IA-FMR,1,6.75,11.320754716981131,,,1
IA-FMR,1,6.8500000000000005,11.320754716981131,,,1
IA-FMR,1,6.95,11.320754716981131,,,1
IA-FMR,1,7.050000000000001,11.320754716981131,,,1
IA-FMR,1,7.15,11.320754716981131,,,1
IA-FMR,1,7.25,11.320754716981131,,,1
IA-FMR,1,7.35,11.320754716981131,,,1
IA-FMR,1,7.45,11.320754716981131,,,1
IA-FMR,1,7.550000000000001,11.320754716981131,,,1
IA-FMR,1,7.65,11.320754716981131,,,1
IA-FMR,1,7.75,11.320754716981131,,,1
IA-FMR,1,7.85,11.320754716981131,,,1
IA-FMR,1,7.95,11.320754716981131,,,1
IA-FMR,1,8.05,11.320754716981131,,,1
IA-FMR,1,8.15,11.320754716981131,,,1
IA-FMR,1,8.25,11.320754716981131,,,1
IA-FMR,1,8.35,11.320754716981131,,,1
IA-FMR,1,8.450000000000001,11.320754716981131,,,1
IA-FMR,1,8.55,11.320754716981131,,,1
IA-FMR,1,8.65,11.320754716981131,,,1
IA-FMR,1,8.75,11.320754716981131,,,1
IA-FMR,1,8.85,11.320754716981131,,,1
