scheduler,ue,time_s,mean,CI95_low,CI95_high,n
MR,1,0.45,16.513040708379222,,,1
MR,1,0.55,16.47046143219985,,,1
MR,1,0.65,16.746524774275475,,,1
MR,1,0.75,16.79151830983505,,,1
MR,1,0.8500000000000001,16.89947134728163,,,1
MR,1,0.95,16.721348124650014,,,1
MR,1,1.05,16.53507627005641,,,1
MR,1,1.15,16.570917893227094,,,1
MR,1,1.25,16.62707243051371,,,1
MR,1,1.35,16.72696839684463,,,1
MR,1,1.4500000000000002,16.71662396898246,,,1
MR,1,1.55,16.715941008393838,,,1
MR,1,1.65,16.865446024178933,,,1
MR,1,1.75,17.00339844200556,,,1
MR,1,1.85,16.95354231903623,,,1
MR,1,1.95,16.607690059083467,,,1
MR,1,2.0500000000000003,16.266917922440395,,,1
MR,1,2.15,16.325273110512565,,,1
MR,1,2.25,16.429999793844186,,,1
MR,1,2.35,16.773683647235448,,,1
MR,1,2.45,16.715328459163285,,,1
MR,1,2.5500000000000003,16.774647737489335,,,1
MR,1,2.6500000000000004,16.633191243831586,,,1
MR,1,2.75,16.683047366800913,,,1
MR,1,2.85,16.7737291322197,,,1
MR,1,2.95,16.65366052158505,,,1
MR,1,3.0500000000000003,16.73576756123926,,,1
MR,1,3.1500000000000004,16.763762966593152,,,1
MR,1,3.25,16.76988891611533,,,1
MR,1,3.35,16.214598154312835,,,1
MR,1,3.45,15.81045364916944,,,1
MR,1,3.5500000000000003,15.509042970400271,,,1
MR,1,3.65,15.617951189083447,,,1
MR,1,3.75,15.907642537320854,,,1
MR,1,3.85,16.04202946416061,,,1
MR,1,3.95,16.03884538817946,,,1
MR,1,4.05,15.657690665258016,,,1
MR,1,4.15,15.50912591763666,,,1
MR,1,4.25,15.273831799989605,,,1
MR,1,4.3500000000000005,15.208352508053382,,,1
MR,1,4.45,15.186456879382456,,,1
MR,1,4.55,15.516296152617954,,,1
MR,1,4.65,15.79201879373406,,,1
MR,1,4.75,15.78162324302976,,,1
MR,1,4.8500000000000005,15.705576052665146,,,1
MR,1,4.95,15.490134928133113,,,1
MR,1,5.050000000000001,15.450640356399978,,,1
MR,1,5.15,15.473684431721184,,,1
MR,1,5.25,15.454895751964644,,,1
MR,1,5.3500000000000005,15.342719238922063,,,1
MR,1,5.45,15.100981477970793,,,1
MR,1,5.550000000000001,15.143160146812004,,,1
MR,1,5.65,15.103627352562228,,,1
MR,1,5.75,15.2331944784775,,,1
MR,1,5.8500000000000005,15.131837859110584,,,1
MR,1,5.95,15.236779458391808,,,1
MR,1,6.050000000000001,15.48884896394778,,,1
MR,1,6.15,15.4255400601586,,,1
MR,1,6.25,15.59014023985312,,,1
MR,1,6.3500000000000005,17.937358239245032,,,1
MR,1,6.45,22.756346780642463,,,1
MR,1,6.550000000000001,24.402133848287843,,,1
MR,1,6.65,23.46325943653608,,,1
MR,1,6.75,20.477211146710967,,,1
MR,1,6.8500000000000005,20.426493710691823,,,1
MR,1,6.95,20.92795930692657,,,1
MR,1,7.050000000000001,21.108726521891896,,,1
MR,1,7.15,21.108726521891896,,,1
MR,1,7.25,20.61512256087728,,,1
MR,1,7.35,20.426493710691823,,,1
MR,1,7.45,20.392031915309197,,,1
MR,1,7.550000000000001,20.426976636641417,,,1
MR,1,7.65,20.43483827186154,,,1
MR,1,7.75,20.469300067244173,,,1
