scheduler,ue,time_s,mean,CI95_low,CI95_high,n
PF,1,0.45,11.802164261931187,,,1
PF,1,0.55,11.41878222509448,,,1
PF,1,0.65,11.623830902616666,,,1
PF,1,0.75,11.154643227546636,,,1
PF,1,0.8500000000000001,11.525954822469032,,,1
PF,1,0.95,11.260747545001538,,,1
PF,1,1.05,11.513286583067206,,,1
PF,1,1.15,11.4577974110845,,,1
PF,1,1.25,11.72103246780029,,,1
PF,1,1.35,11.767684804397694,,,1
PF,1,1.4500000000000002,11.601263175711914,,,1
PF,1,1.55,11.637779411364315,,,1
PF,1,1.65,11.517533828854582,,,1
PF,1,1.75,11.539773689076396,,,1
PF,1,1.85,11.32019243175929,,,1
PF,1,1.95,10.985055642561797,,,1
PF,1,2.0500000000000003,11.630701355885932,,,1
PF,1,2.15,11.41086506607114,,,1
PF,1,2.25,11.966876368595976,,,1
PF,1,2.35,11.224305847235604,,,1
PF,1,2.45,11.535118493287577,,,1
PF,1,2.5500000000000003,10.962342212964126,,,1
PF,1,2.6500000000000004,11.439084504542455,,,1
PF,1,2.75,11.562154511145524,,,1
PF,1,2.85,11.396186656498424,,,1
PF,1,2.95,11.19937621609463,,,1
PF,1,3.0500000000000003,10.849208113359056,,,1
PF,1,3.1500000000000004,11.701159795499416,,,1
PF,1,3.25,11.828161648080444,,,1
PF,1,3.35,11.967856858530372,,,1
PF,1,3.45,11.719878421872693,,,1
PF,1,3.5500000000000003,11.554875941668394,,,1
PF,1,3.65,11.436951413366508,,,1
PF,1,3.75,11.28421107194692,,,1
PF,1,3.85,11.391930592991914,,,1
PF,1,3.95,11.357592416168378,,,1
PF,1,4.05,11.405510954652952,,,1
PF,1,4.15,11.412087514885172,,,1
PF,1,4.25,11.81939629284956,,,1
PF,1,4.3500000000000005,11.811656641268485,,,1
PF,1,4.45,11.43117690595004,,,1
PF,1,4.55,11.226282643998085,,,1
PF,1,4.65,11.491281584002325,,,1
PF,1,4.75,11.75020834399421,,,1
PF,1,4.8500000000000005,11.60632165163647,,,1
