scheduler,ue,time_s,mean,CI95_low,CI95_high,n
RR,1,0.45,11.113164072689331,,,1
RR,1,0.55,11.111082128124124,,,1
RR,1,0.65,11.109100203278716,,,1
RR,1,0.75,11.112377510268743,,,1
RR,1,0.8500000000000001,11.115045701616175,,,1
RR,1,0.95,11.1114935561203,,,1
RR,1,1.05,11.109857197658192,,,1
RR,1,1.15,11.109178843925791,,,1
RR,1,1.25,11.111695655547203,,,1
RR,1,1.35,11.110770757286012,,,1
RR,1,1.4500000000000002,11.112674300922848,,,1
RR,1,1.55,11.113195802429985,,,1
RR,1,1.65,11.109496209385222,,,1
RR,1,1.75,11.111615248528112,,,1
RR,1,1.85,11.112069022566793,,,1
RR,1,1.95,11.114591472370044,,,1
RR,1,2.0500000000000003,11.110933952753546,,,1
RR,1,2.15,11.106658550482855,,,1
RR,1,2.25,11.108945571637804,,,1
RR,1,2.35,11.109735324947588,,,1
RR,1,2.45,11.114149166755498,,,1
RR,1,2.5500000000000003,11.111453748965742,,,1
RR,1,2.6500000000000004,11.111595400050788,,,1
RR,1,2.75,11.109876070314291,,,1
RR,1,2.85,11.111270251929684,,,1
RR,1,2.95,11.10989540316305,,,1
RR,1,3.0500000000000003,11.112541675887917,,,1
RR,1,3.1500000000000004,11.112016983882125,,,1
RR,1,3.25,11.110981650007655,,,1
RR,1,3.35,11.111958250656118,,,1
RR,1,3.45,11.108974707878083,,,1
RR,1,3.5500000000000003,11.10889378523042,,,1
RR,1,3.65,11.10791718458196,,,1
RR,1,3.75,11.11262005709649,,,1
RR,1,3.85,11.112700979744153,,,1
RR,1,3.95,11.11072207843016,,,1
RR,1,4.05,11.110129864854258,,,1
RR,1,4.15,11.113515350048145,,,1
RR,1,4.25,11.11093678166931,,,1
RR,1,4.3500000000000005,11.112207348977613,,,1
RR,1,4.45,11.108740941136064,,,1
RR,1,4.55,11.111779254264611,,,1
RR,1,4.65,11.110508686956312,,,1
RR,1,4.75,11.11050868695631,,,1
RR,1,4.8500000000000005,11.11185255622471,,,1
RR,1,4.95,11.109491704807256,,,1
RR,1,5.050000000000001,11.114266141019169,,,1
RR,1,5.15,11.10988395862222,,,1
RR,1,5.25,11.115922768037397,,,1
RR,1,5.3500000000000005,11.11122925447314,,,1
RR,1,5.45,11.110917099014728,,,1
RR,1,5.550000000000001,11.107752973384336,,,1
RR,1,5.65,11.10886668846738,,,1
RR,1,5.75,11.1153935753251,,,1
RR,1,5.8500000000000005,11.113291533822393,,,1
RR,1,5.95,11.112699320246492,,,1
RR,1,6.050000000000001,11.111578231445046,,,1
RR,1,6.15,11.113166440580423,,,1
RR,1,6.25,11.11080558916297,,,1
RR,1,6.3500000000000005,11.107766017412578,,,1
RR,1,6.45,11.108723294151709,,,1
RR,1,6.550000000000001,11.1106730796753,,,1
RR,1,6.65,11.112749215736956,,,1
RR,1,6.75,11.110394314958688,,,1
RR,1,6.8500000000000005,11.110394314958688,,,1
RR,1,6.95,11.110572988486418,,,1
RR,1,7.050000000000001,11.115330285696546,,,1
RR,1,7.15,11.113902372591548,,,1
RR,1,7.25,11.111918731793892,,,1
RR,1,7.35,11.110709249452333,,,1
RR,1,7.45,11.109860489914398,,,1
RR,1,7.550000000000001,11.11306932061649,,,1
RR,1,7.65,11.11045938503734,,,1
RR,1,7.75,11.113147123574135,,,1
RR,1,7.85,11.107613053232845,,,1
RR,1,7.95,11.109756682367058,,,1
RR,1,8.05,11.1088831673426,,,1
RR,1,8.15,11.114071671300588,,,1
RR,1,8.25,11.109700048379294,,,1
RR,1,8.35,11.111665457184325,,,1
RR,1,8.450000000000001,11.110785833663192,,,1
RR,1,8.55,11.111634593201126,,,1
RR,1,8.65,11.110542699420554,,,1
RR,1,8.75,11.110616001380649,,,1
RR,1,8.85,11.11158146535505,,,1
RR,1,8.950000000000001,11.110262952110585,,,1
RR,1,9.05,11.111714330920456,,,1
RR,1,9.15,11.11258784594491,,,1
RR,1,9.25,11.111496662570184,,,1
RR,1,9.35,11.111496662570184,,,1
RR,1,9.45,11.111496662570184,,,1
RR,1,9.55,11.113906359189375,,,1
RR,1,9.65,11.109272132112253,,,1
RR,1,9.75,11.112631805283243,,,1
RR,1,9.85,11.110635199513055,,,1
RR,1,9.95,11.110885969376534,,,1
RR,1,10.05,11.111893871327837,,,1
RR,1,10.15,11.113890477098025,,,1
RR,1,10.25,11.116177498252968,,,1
RR,1,10.35,11.109970944131817,,,1
RR,1,10.45,11.108986701850736,,,1
RR,1,10.55,11.110438080660607,,,1
RR,1,10.65,11.111674635504668,,,1
RR,1,10.75,11.109620564657195,,,1
RR,1,10.85,11.112289767066152,,,1
RR,1,10.95,11.110895585450765,,,1
RR,1,11.05,11.116429655792052,,,1
RR,1,11.15,11.110291749309193,,,1
RR,1,11.25,11.109600616542588,,,1
RR,1,11.35,11.112480336403442,,,1
RR,1,11.45,11.113798849647909,,,1
RR,1,11.55,11.114898379049322,,,1
RR,1,11.65,11.108204388731266,,,1
RR,1,11.75,11.10929628251184,,,1
RR,1,11.85,11.109565978402754,,,1
RR,1,11.95,11.113858159815589,,,1
RR,1,12.05,11.11007852749822,,,1
RR,1,12.15,11.112740910011082,,,1
RR,1,12.25,11.10836961780358,,,1
RR,1,12.35,11.112149250120948,,,1
RR,1,12.45,11.109407756813418,,,1
RR,1,12.55,11.11448333885027,,,1
RR,1,12.65,11.113391445069697,,,1
RR,1,12.75,11.113200859973452,,,1
RR,1,12.85,11.107231715026332,,,1
RR,1,12.95,11.10897874507525,,,1
RR,1,13.05,11.112455635344594,,,1
RR,1,13.15,11.111029737083532,,,1
RR,1,13.25,11.10788508299548,,,1
RR,1,13.35,11.108492159074254,,,1
RR,1,13.45,11.11089073104025,,,1
RR,1,13.55,11.11157528159003,,,1
RR,1,13.65,11.11369432073292,,,1
RR,1,13.75,11.111518773879553,,,1
RR,1,13.85,11.111104731208314,,,1
RR,1,13.95,11.110857509974975,,,1
RR,1,14.05,11.113749145918012,,,1
