scheduler,time_s,mean,CI95_low,CI95_high,n
RR,0.45,9.0,,,1
RR,0.55,9.0,,,1
RR,0.65,9.0,,,1
RR,0.75,9.0,,,1
RR,0.8500000000000001,9.0,,,1
RR,0.95,9.0,,,1
RR,1.05,9.0,,,1
RR,1.15,9.0,,,1
RR,1.25,9.0,,,1
RR,1.35,9.0,,,1
RR,1.4500000000000002,9.0,,,1
RR,1.55,9.0,,,1
RR,1.65,9.0,,,1
RR,1.75,9.0,,,1
RR,1.85,9.0,,,1
RR,1.95,9.0,,,1
RR,2.0500000000000003,9.0,,,1
RR,2.15,9.0,,,1
RR,2.25,9.0,,,1
RR,2.35,9.0,,,1
RR,2.45,9.0,,,1
RR,2.5500000000000003,9.0,,,1
RR,2.6500000000000004,9.0,,,1
RR,2.75,9.0,,,1
RR,2.85,9.0,,,1
RR,2.95,9.0,,,1
RR,3.0500000000000003,9.0,,,1
RR,3.1500000000000004,9.0,,,1
RR,3.25,9.0,,,1
RR,3.35,9.0,,,1
RR,3.45,9.0,,,1
RR,3.5500000000000003,9.0,,,1
RR,3.65,9.0,,,1
RR,3.75,9.0,,,1
RR,3.85,9.0,,,1
RR,3.95,9.0,,,1
RR,4.05,9.0,,,1
RR,4.15,9.0,,,1
RR,4.25,9.0,,,1
RR,4.3500000000000005,9.0,,,1
RR,4.45,9.0,,,1
RR,4.55,9.0,,,1
RR,4.65,9.0,,,1
RR,4.75,9.0,,,1
RR,4.8500000000000005,9.0,,,1
RR,4.95,9.0,,,1
RR,5.050000000000001,9.0,,,1
RR,5.15,9.0,,,1
RR,5.25,9.0,,,1
RR,5.3500000000000005,9.0,,,1
RR,5.45,9.0,,,1
RR,5.550000000000001,9.0,,,1
RR,5.65,9.0,,,1
RR,5.75,9.0,,,1
RR,5.8500000000000005,9.0,,,1
RR,5.95,9.0,,,1
RR,6.050000000000001,9.0,,,1
RR,6.15,9.0,,,1
RR,6.25,9.0,,,1
RR,6.3500000000000005,9.0,,,1
RR,6.45,9.0,,,1
RR,6.550000000000001,9.0,,,1
RR,6.65,9.0,,,1
RR,6.75,9.0,,,1
RR,6.8500000000000005,9.0,,,1
RR,6.95,9.0,,,1
RR,7.050000000000001,9.0,,,1
RR,7.15,9.0,,,1
RR,7.25,9.0,,,1
