mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
IA-FMR,0.45,3.497644421052631,5.380721862700229
IA-FMR,0.55,7.263799304347827,7.290961275555428
IA-FMR,0.65,11.111440101265822,11.190812274989497
IA-FMR,0.75,15.197197419354838,15.187166290313044
IA-FMR,0.8500000000000001,19.252861350318472,19.247478749126774
IA-FMR,0.9500000000000001,23.292377477707007,23.299426751592353
IA-FMR,1.05,27.353041426751595,27.372514004246284
IA-FMR,1.1500000000000001,31.472123108280254,31.466696290171907
IA-FMR,1.25,35.57492433548387,35.5682643884277
IA-FMR,1.35,39.65774572151899,39.653604890795826
IA-FMR,1.4500000000000002,43.728144615384615,43.716364108054925
IA-FMR,1.55,47.76320198726115,47.787550525668244
IA-FMR,1.6500000000000001,51.87130497435898,51.85921285981817
IA-FMR,1.75,55.94313161783439,55.94105056026698
IA-FMR,1.85,60.008715088607595,59.99637204744647
IA-FMR,1.9500000000000002,64.03726943589744,64.05344965254203
IA-FMR,2.0500000000000003,68.11436443312103,68.11239038096794
IA-FMR,2.15,72.18553727388534,72.18035162632697
IA-FMR,2.25,76.24115317197453,76.26567831847133
IA-FMR,2.35,80.37034450955414,80.34581037247536
IA-FMR,2.45,84.42593343589743,84.4278028878001
IA-FMR,2.5500000000000003,88.48713071794872,88.50639862453046
IA-FMR,2.6500000000000004,92.60613171974522,92.57794801426316
IA-FMR,2.75,96.64058160509555,96.66864754140128
IA-FMR,2.85,100.75922929936306,100.73993586707759
IA-FMR,2.95,104.8199966967742,104.83087714945553
IA-FMR,3.0500000000000003,108.9134054522293,108.9058291265909
IA-FMR,3.1500000000000004,112.98408523076922,112.97236876016093
IA-FMR,3.25,117.01961559748426,117.04002240941782
IA-FMR,3.35,121.11636639999999,121.1203572812127
IA-FMR,3.45,125.22508984615385,125.21637599712558
IA-FMR,3.5500000000000003,129.30767174522293,129.31085975763514
IA-FMR,3.6500000000000004,133.39981768152867,133.39272261904378
IA-FMR,3.75,137.47067843037976,137.45846747320024
IA-FMR,3.85,141.5049063076923,141.51733111651234
IA-FMR,3.95,145.57640861146496,145.57112620447492
IA-FMR,4.05,149.63206369426752,149.65133622234094
IA-FMR,4.15,153.74553636129033,153.7387982970003
IA-FMR,4.25,157.83879483544303,157.84013894591968
IA-FMR,4.3500000000000005,161.93608564102564,161.89923290616898
IA-FMR,4.45,165.9228182420382,165.95644843660514
IA-FMR,4.55,170.01044142675158,170.02255204344274
IA-FMR,4.65,174.13439646153847,174.11866188633022
IA-FMR,4.75,178.21114777070065,178.22003288083184
IA-FMR,4.8500000000000005,182.31455441025642,182.30560761587458
IA-FMR,4.95,186.39112066666667,186.38778208893214
IA-FMR,5.050000000000001,190.45767118987342,190.46262914876124
IA-FMR,5.15,194.5390955897436,194.5357848161356
IA-FMR,5.25,198.6105876687898,198.61413170156243
IA-FMR,5.3500000000000005,202.69271184615386,202.69092480646745
IA-FMR,5.45,206.7694749044586,206.77653992324028
IA-FMR,5.550000000000001,210.8674330191083,210.86362092075888
IA-FMR,5.65,214.95395483870965,214.94752433835023
IA-FMR,5.75,219.0211851572327,219.020523172841
IA-FMR,5.8500000000000005,223.08642952258063,223.09224827331357
IA-FMR,5.95,227.16913014012738,227.16341838545964
IA-FMR,6.050000000000001,231.2346954936709,231.24016453599725
IA-FMR,6.15,235.31666797419354,235.29733462346007
IA-FMR,6.25,239.34064040251573,239.36874131266654
IA-FMR,6.3500000000000005,243.44891556129033,245.58793688793534
IA-FMR,6.45,253.9742547,256.1397679256061
IA-FMR,6.550000000000001,270.99613351552796,270.98124549741914
IA-FMR,6.65,287.97334827672955,287.95285376408583
IA-FMR,6.75,304.8890795,304.90770642557646
IA-FMR,6.8500000000000005,321.8606915,321.86069556666666
IA-FMR,6.95,338.8323157,338.8490657540372
IA-FMR,7.050000000000001,355.8541900621118,355.8392875978528
IA-FMR,7.15,372.83135703144654,372.81087656451945
IA-FMR,7.25,389.7470826,389.7657148104822
IA-FMR,7.3500000000000005,406.7187048,406.71869480000004
IA-FMR,7.45,423.690297,423.7070539995859
IA-FMR,7.550000000000001,440.7121601987578,440.69725406834897
IA-FMR,7.65,457.68930500628926,457.6688365016824
IA-FMR,7.75,474.60504430000003,474.62366961876313
IA-FMR,7.8500000000000005,491.57665955000004,491.5766488000001
IA-FMR,7.95,508.54824255000005,508.56499882008285
IA-FMR,8.05,525.5700943602484,525.5719377200829
IA-FMR,8.15,542.59747625,542.562142404674
IA-FMR,8.25,559.5188566037735,559.516975151258
IA-FMR,8.35,576.4345926,576.4532153845912
IA-FMR,8.450000000000001,593.40619695,593.4229386119047
IA-FMR,8.55,610.4280262857143,610.4298860785715
IA-FMR,8.65,627.4554350000001,627.4200906507937
IA-FMR,8.75,644.3768106666666,644.3749295555557
IA-FMR,8.85,661.292543,661.3111639722222
IA-FMR,8.950000000000001,678.26413825,678.2808840771222
IA-FMR,9.05,695.2859709813665,695.2878340604556
IA-FMR,9.15,712.31339295,712.2780386941032
IA-FMR,9.25,729.2347521509433,729.2328800503145
IA-FMR,9.35,746.15049505,746.1691074169811
IA-FMR,9.450000000000001,763.1220750499999,763.1388301658385
IA-FMR,9.55,780.1439203975156,780.1457783825052
IA-FMR,9.65,797.1713397000001,797.1359863721278
IA-FMR,9.75,814.092699018868,814.0908290896227
IA-FMR,9.850000000000001,831.0084485499999,831.0270537896226
IA-FMR,9.950000000000001,847.9800138,847.9967810317806
IA-FMR,10.05,865.0018807453416,865.0037247317805
IA-FMR,10.15,882.02927965,881.9939410122837
IA-FMR,10.25,898.9506626415094,898.9487764138365
IA-FMR,10.350000000000001,915.86638695,915.8850036638365
IA-FMR,10.450000000000001,932.8379613999999,932.8547244313664
IA-FMR,10.55,949.8598249440994,949.8616723980331
IA-FMR,10.65,966.88723085,966.8518870089347
IA-FMR,10.75,983.8086052327044,983.8067214775682
IA-FMR,10.850000000000001,1000.72432835,1000.7429497275681
IA-FMR,10.950000000000001,1017.6959156,1017.7126722897516
IA-FMR,11.05,1034.7177729192547,1034.7196245397515
IA-FMR,11.15,1051.7451851,1051.7098333691017
IA-FMR,11.25,1068.6665420880502,1068.6646672293502
IA-FMR,11.350000000000001,1085.5822745,1085.6008970960168
IA-FMR,11.450000000000001,1102.5538747,1102.5706229838509
IA-FMR,11.55,1119.575719751553,1119.5775752005177
IA-FMR,11.65,1136.60313115,1136.5677750049201
IA-FMR,11.75,1153.5244741132074,1153.5226114377358
IA-FMR,11.850000000000001,1170.44022905,1170.4588427210692
IA-FMR,11.950000000000001,1187.411825,1187.4285748034163
IA-FMR,12.05,1204.4336703602485,1204.4355212534163
IA-FMR,12.15,1221.4610684,1221.4257193603344
IA-FMR,12.25,1238.3824193207547,1238.380559956918
IA-FMR,12.350000000000001,1255.29819215,1258.2296681902515
IA-FMR,12.450000000000001,1281.0083931000001,1283.9981193897518
IA-FMR,12.55,1315.6877729192547,1315.6895949397515
IA-FMR,12.65,1350.3726188,1350.3006331810514
IA-FMR,12.75,1384.8415078238993,1384.839658824633
IA-FMR,12.850000000000001,1419.30484985,1419.3417861246332
IA-FMR,12.950000000000001,1453.8790007,1453.8789976833332
IA-FMR,13.05,1488.4531425,1488.4882471867495
IA-FMR,13.15,1523.1325983602485,1523.0993333098104
IA-FMR,13.25,1557.7122590691822,1557.6832257098101
IA-FMR,13.350000000000001,1592.2048197,1592.278778156394
IA-FMR,13.450000000000001,1626.9192557000001,1626.9228578833333
IA-FMR,13.55,1661.6444982500002,1661.6797612297103
IA-FMR,13.65,1696.4755297391303,1696.442095367446
IA-FMR,13.75,1731.2062581132075,1731.167330567446
IA-FMR,13.850000000000001,1765.8202038499999,1765.857306687736
IA-FMR,13.950000000000001,1800.5454581,1800.5454516500001
IA-FMR,14.05,1835.270693,1835.305962300414
IA-FMR,14.15,1870.1017358012423,1870.0682876884646
IA-FMR,14.25,1904.8324342641508,1904.7935261384644
IA-FMR,14.350000000000001,1939.44640835,1939.4834988380505
IA-FMR,14.450000000000001,1974.1716539000001,1974.1716556000001
IA-FMR,14.55,2008.8969045500003,2008.9321600630437
IA-FMR,14.65,2043.7279217391306,2043.6944872032952
IA-FMR,14.75,2078.4586353207546,2078.419722603295
IA-FMR,14.850000000000001,2113.07261075,2113.109692323585
